split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,CYST_PA56.nii.gz,2,foreground,gamma,0.3,0.019737744703888893,0.009225310757756233,0.0022902702912688255
train,CYST_PA56.nii.gz,2,foreground,contrast,-0.3,5.083263250973448e-15,1.0411281436972786e-06,2.3325300446686015e-07
train,CYST_PA56.nii.gz,2,foreground,contrast,-0.15,8.987325349262085e-15,9.096983148992877e-07,2.3449327102298412e-07
train,CYST_PA56.nii.gz,2,foreground,contrast,0.15,6.840987771283835e-05,3.0829647585051134e-05,6.168774689285783e-06
train,CYST_PA56.nii.gz,2,foreground,contrast,0.3,0.0014919961104169488,0.0008174811373464763,0.00018334884953219444
train,CYST_PA56.nii.gz,3,foreground,gamma,-0.3,0.015581293031573296,0.007724791299551725,0.0016169091686606407
train,CYST_PA56.nii.gz,3,foreground,gamma,-0.15,0.003787553869187832,0.0019270663615316153,0.00039758472121320665
train,CYST_PA56.nii.gz,3,foreground,gamma,0.15,0.0035718902945518494,0.0018935366533696651,0.0004066183464601636
train,CYST_PA56.nii.gz,3,foreground,gamma,0.3,0.013823209330439568,0.006960295140743256,0.001583708100952208
train,CYST_PA56.nii.gz,3,foreground,contrast,-0.3,4.5178403830774694e-15,9.110083283303538e-07,2.2125378507098503e-07
train,CYST_PA56.nii.gz,3,foreground,contrast,-0.15,8.724999245497429e-15,9.076305786948069e-07,2.0771807385244756e-07
train,CYST_PA56.nii.gz,3,foreground,contrast,0.15,0.00012490173685364425,3.094103522016667e-05,6.740226126566995e-06
train,CYST_PA56.nii.gz,3,foreground,contrast,0.3,0.0015024741878733039,0.0008588183554820716,0.00019891811825800687
train,HCC_10136895_20170421.nii.gz,0,context,gamma,-0.3,0.029768571257591248,0.22030460834503174,0.10803818702697754
train,HCC_10136895_20170421.nii.gz,0,context,gamma,-0.15,0.006801069248467684,0.08409744501113892,0.04869090020656586
train,HCC_10136895_20170421.nii.gz,0,context,gamma,0.15,0.005513755604624748,0.04194652661681175,0.03227021545171738
train,HCC_10136895_20170421.nii.gz,0,context,gamma,0.3,0.01970386877655983,0.08481588214635849,0.06636067479848862
train,HCC_10136895_20170421.nii.gz,0,context,contrast,-0.3,1.592360785059293e-14,1.2875938182332902e-06,5.113960810376739e-07
train,HCC_10136895_20170421.nii.gz,0,context,contrast,-0.15,3.3324910417450136e-15,0.0,0.0
train,HCC_10136895_20170421.nii.gz,0,context,contrast,0.15,0.0017233641119673848,0.02656523697078228,0.020483780652284622
train,HCC_10136895_20170421.nii.gz,0,context,contrast,0.3,0.006590130273252726,0.0722862109541893,0.0592072494328022
train,HCC_10136895_20170421.nii.gz,1,context,gamma,-0.3,0.024114850908517838,0.012845538556575775,0.0030956610571593046
train,HCC_10136895_20170421.nii.gz,1,context,gamma,-0.15,0.0057965656742453575,0.003079727990552783,0.000742111005820334
train,HCC_10136895_20170421.nii.gz,1,context,gamma,0.15,0.005224065389484167,0.002597464481368661,0.0004941966035403311
