case,patch_index,patch_kind,candidate_state,action,context_test,skip_context,mask_embedding_context,probability_mse,logits_mse,predicted_mask_dice_vs_real,predicted_mask_iou_vs_real,mean_absolute_probability_error
HEM_PA97.nii.gz,1,context,final_decoder_stage_input,gamma,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,1,context,final_decoder_feature,gamma,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,7.151335012167692e-06,0.10097037255764008,0.996352465564904,0.9927314434401534,0.0003529700916260481
HEM_PA97.nii.gz,1,context,final_decoder_feature,gamma,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,1,context,final_decoder_stage_input,blur,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,1.161889304057695e-05,0.34760740399360657,0.9957862896134501,0.9916079409333539,0.000443359836935997
HEM_PA97.nii.gz,1,context,final_decoder_stage_input,blur,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,1,context,final_decoder_feature,blur,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,1.161889304057695e-05,0.34760740399360657,0.9957862896134501,0.9916079409333539,0.000443359836935997
HEM_PA97.nii.gz,1,context,final_decoder_feature,blur,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,2,foreground,final_decoder_stage_input,gamma,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,7.453704893123358e-05,2.4035840034484863,0.9884264447647364,0.9771177188739933,0.0013354889815673232
HEM_PA97.nii.gz,2,foreground,final_decoder_stage_input,gamma,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,2,foreground,final_decoder_feature,gamma,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,7.453704893123358e-05,2.4035840034484863,0.9884264447647364,0.9771177188739933,0.0013354889815673232
HEM_PA97.nii.gz,2,foreground,final_decoder_feature,gamma,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,2,foreground,final_decoder_stage_input,blur,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,2.557141488068737e-05,0.9284459352493286,0.9898587569308565,0.9799211384769696,0.0007466743118129671
HEM_PA97.nii.gz,2,foreground,final_decoder_stage_input,blur,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,2,foreground,final_decoder_feature,blur,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,2.557141488068737e-05,0.9284459352493286,0.9898587569308565,0.9799211384769696,0.0007466743118129671
