candidate_state,case,scope,method,patch_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
penultimate_decoder_stage_output,HEM_PA99.nii.gz,background,pairwise_world_stability,4,0.9979846224644774,0.5150747951820178,0.9945629383413439,0.9999823419484745,0.08408843995665212,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,foreground,pairwise_world_stability,4,0.9207335983430864,0.13143336814202738,0.8768476661120106,0.9882209651415743,0.35292280367230183,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,overall,pairwise_world_stability,4,0.9950252462316442,0.49999993198720727,0.9889206188251597,0.9999371345426717,0.13643754894895824,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,background,blur_joint_product,4,0.997797388840928,0.3106926374981261,0.9098731909415837,0.999239152122908,0.06050173685975163,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,foreground,blur_joint_product,4,0.8505119091852803,0.06580337890578873,0.7613433587954757,0.9495817646350404,0.32026825915009643,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,overall,blur_joint_product,4,0.9952379862467448,0.3063067136062161,0.9106167344674235,0.9992148370942916,0.10115665222934858,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,background,blur_world_stability,4,0.997797388840928,0.5066515329441305,0.8930402941027591,0.9991709467484261,0.05916766616199994,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,foreground,blur_world_stability,4,0.8505119091852803,0.12223006780706763,0.690692158645934,0.9318410370650559,0.2330035168323639,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,overall,blur_world_stability,4,0.9952379862467448,0.49999992543854854,0.9028565855763238,0.9991355392453672,0.10026191636120221,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,background,confidence_rank,4,0.997797388840928,0.5062044328612767,0.9044484960973063,0.9991910236214459,0.059445549583234475,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,foreground,confidence_rank,4,0.8505119091852803,0.14935401792967765,0.818433847391841,0.9631784528374229,0.3927948207590195,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,overall,confidence_rank,4,0.9952379862467448,0.5000000768110949,0.9065246993598425,0.9991720530047172,0.10036808156844357,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,background,gamma_joint_product,4,0.997797388840928,0.30670479578347626,0.901150897910011,0.9991979025906019,0.05900371665769097,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,foreground,gamma_joint_product,4,0.8505119091852803,0.11341944231385233,0.8238372398714621,0.9648034790284488,0.39899265601954426,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,overall,gamma_joint_product,4,0.9952379862467448,0.303152148147268,0.9059734464563463,0.9991786911098973,0.10009250962124323,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,background,gamma_world_stability,4,0.997797388840928,0.5038958331824944,0.8570155824533834,0.9990398922826251,0.05618236796784032,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,foreground,gamma_world_stability,4,0.8505119091852803,0.28054526094229065,0.8100861054837646,0.9615331307345301,0.3880560963034633,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,overall,gamma_world_stability,4,0.9952379862467448,0.4999999269077614,0.8886883876482301,0.9990135149307965,0.09951865911035701,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,background,pairwise_joint_product,4,0.997797388840928,0.31434163140400273,0.9119860179514151,0.9992504084162213,0.06081295628224839,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,foreground,pairwise_joint_product,4,0.8505119091852803,0.06528844376605103,0.7657822471393442,0.9510515619823033,0.32591703663342186,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,overall,pairwise_joint_product,4,0.9952379862467448,0.30987012060609437,0.9118200206538719,0.9992268147390608,0.10141422735702474,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,background,pairwise_world_stability,4,0.997797388840928,0.5069269535486042,0.9036629415265052,0.999221986115108,0.06033205980979327,case_patch_macro
