case,patch_index,patch_kind,candidate_state,action,state_shape,channels,spatial_resolution,tensor_memory_mb,normalized_mse,delta_rms,delta_l2_norm,relative_delta_norm,relative_delta_norm_valid,gamma_vs_blur_delta_cosine,gamma_vs_blur_delta_cosine_valid,state_variance,delta_variance
HEM_PA97.nii.gz,1,context,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.13466930389404297,0.44780367612838745,893.4913330078125,0.36013129353523254,True,0.0997057780623436,True,1.4692745208740234,0.20036545395851135
HEM_PA97.nii.gz,1,context,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.004245939198881388,0.1352601796388626,1241.369384765625,0.06526204198598862,True,0.2517511248588562,True,4.24823522567749,0.01821419782936573
HEM_PA97.nii.gz,1,context,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.024007555097341537,0.3170611560344696,2908.4541015625,0.15290504693984985,True,0.2517511248588562,True,4.24823522567749,0.10051792860031128
HEM_PA97.nii.gz,1,context,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.008887553587555885,0.08848744630813599,1826.978759765625,0.09490741044282913,True,-0.004498270805925131,True,0.8488410711288452,0.007652116008102894
HEM_PA97.nii.gz,1,context,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.08535774797201157,0.27034494280815125,5709.7421875,0.29660817980766296,True,-0.004498270805925131,True,0.8488410711288452,0.07308470457792282
HEM_PA97.nii.gz,1,context,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.004858273081481457,0.0478748083114624,709.3380737304688,0.06899894028902054,True,0.06376941502094269,True,0.3135761022567749,0.002290631178766489
HEM_PA97.nii.gz,1,context,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.05236785486340523,0.1575581133365631,2330.44677734375,0.22668789327144623,True,0.06376941502094269,True,0.3135761022567749,0.024824414402246475
HEM_PA97.nii.gz,2,foreground,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.044789064675569534,0.2665612995624542,531.8762817382812,0.20182670652866364,True,0.12394038587808609,True,1.6698048114776611,0.07102162390947342
HEM_PA97.nii.gz,2,foreground,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.13096672296524048,0.4586712419986725,915.1812744140625,0.3472762703895569,True,0.12394038587808609,True,1.6698048114776611,0.2102043479681015
HEM_PA97.nii.gz,2,foreground,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.02219509892165661,0.2876937985420227,2643.759765625,0.1430710405111313,True,0.3947479724884033,True,3.9928886890411377,0.08251195400953293
HEM_PA97.nii.gz,2,foreground,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.03127509355545044,0.34919777512550354,3203.8798828125,0.17338278889656067,True,0.3947479724884033,True,3.9928886890411377,0.1217866837978363
HEM_PA97.nii.gz,2,foreground,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.018992941826581955,0.12406272441148758,2527.0263671875,0.13317368924617767,True,0.025079384446144104,True,0.8230151534080505,0.014878814108669758
HEM_PA97.nii.gz,2,foreground,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.09811165183782578,0.28383946418762207,5982.67041015625,0.3152852952480316,True,0.025079384446144104,True,0.8230151534080505,0.08056485652923584
HEM_PA97.nii.gz,2,foreground,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.007552117109298706,0.059751980006694794,883.739013671875,0.0857585072517395,True,-0.02457648329436779,True,0.31616315245628357,0.0035587495658546686
HEM_PA97.nii.gz,2,foreground,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.05798334255814552,0.1662452071905136,2460.613525390625,0.23877926170825958,True,-0.02457648329436779,True,0.31616315245628357,0.02763538248836994
HEM_PA97.nii.gz,3,context_fill,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.008710857480764389,0.20850856602191925,416.0462646484375,0.09506598860025406,True,-0.07604297995567322,True,4.766165733337402,0.04347316548228264
HEM_PA97.nii.gz,3,context_fill,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,2.1482396125793457,1.8001775741577148,3591.9140625,0.8207473158836365,True,-0.07604297995567322,True,4.766165733337402,3.233658790588379
HEM_PA97.nii.gz,3,context_fill,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.001977621577680111,0.17492938041687012,1608.615234375,0.045809306204319,True,-0.5569854974746704,True,14.371901512145996,0.03058052249252796
HEM_PA97.nii.gz,3,context_fill,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,2.6708967685699463,3.277181625366211,30129.62890625,0.8580158352851868,True,-0.5569854974746704,True,14.371901512145996,10.681246757507324
HEM_PA97.nii.gz,3,context_fill,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.00435311533510685,0.09698690474033356,2012.798095703125,0.06862492114305496,True,-0.3837028443813324,True,1.9720832109451294,0.00940470676869154
