method,case,region,voxel_count,reliability_mean,aggregation
real_stage_pairwise_world_stability,HEM_PA81.nii.gz,FP,26,0.5043639334348532,case_voxel_weighted
real_stage_pairwise_world_stability,HEM_PA81.nii.gz,TN,53391,0.5066541075936456,case_voxel_weighted
real_stage_pairwise_world_stability,HEM_PA81.nii.gz,TP,1255,0.27133186148457317,case_voxel_weighted
confidence_rank,HEM_PA89.nii.gz,FN,662,0.5244510550083538,case_voxel_weighted
confidence_rank,HEM_PA89.nii.gz,FP,276,0.1446785475829687,case_voxel_weighted
confidence_rank,HEM_PA89.nii.gz,TN,53468,0.5048277168293855,case_voxel_weighted
confidence_rank,HEM_PA89.nii.gz,TP,890,0.30421819977399833,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA89.nii.gz,FN,662,0.36973953728059666,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA89.nii.gz,FP,276,0.025593119734393634,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA89.nii.gz,TN,53468,0.2869351204811457,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA89.nii.gz,TP,890,0.1799439609995565,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA89.nii.gz,FN,662,0.5931883427311646,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA89.nii.gz,FP,276,0.08435956248338672,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA89.nii.gz,TN,53468,0.5039075061911874,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA89.nii.gz,TP,890,0.3225837489192405,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA89.nii.gz,FN,662,0.36124612522165755,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA89.nii.gz,FP,276,0.0894020292337755,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA89.nii.gz,TN,53468,0.2887733640759617,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA89.nii.gz,TP,890,0.18804396227868894,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA89.nii.gz,FN,662,0.5743262199656841,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA89.nii.gz,FP,276,0.18226925812769626,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA89.nii.gz,TN,53468,0.503557553628963,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA89.nii.gz,TP,890,0.32727466406447164,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA89.nii.gz,FN,662,0.3689819993128021,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA89.nii.gz,FP,276,0.02529552121361557,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA89.nii.gz,TN,53468,0.28760055513664806,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA89.nii.gz,TP,890,0.17598549057410376,case_voxel_weighted
