method,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
confidence_rank,HEM_PA107.nii.gz,background,4,2,0.9993924595551978,0.5030136456331886,0.6803305286208272,0.9996994451188248,0.035115197945567944,case_patch_macro
confidence_rank,HEM_PA107.nii.gz,foreground,4,2,0.5946954968281203,0.38839406287828915,0.4095597590605692,0.5447410724948494,-0.15157463033260446,case_patch_macro
confidence_rank,HEM_PA107.nii.gz,overall,4,2,0.9895833333333334,0.5000361784564658,0.5322752638216431,0.9916812445784448,0.047226339636064076,case_patch_macro
real_stage_blur_joint_product,HEM_PA107.nii.gz,background,4,2,0.9993924595551978,0.2778411758291333,0.5722748483993746,0.9987428277017163,0.014704194405463658,case_patch_macro
real_stage_blur_joint_product,HEM_PA107.nii.gz,foreground,4,2,0.5946954968281203,0.22457668002187553,0.3998202586198202,0.5537057982374695,-0.15144304134717823,case_patch_macro
real_stage_blur_joint_product,HEM_PA107.nii.gz,overall,4,2,0.9895833333333334,0.27575011470798877,0.5102385100644967,0.9907268957727847,0.030066613077858215,case_patch_macro
real_stage_blur_world_stability,HEM_PA107.nii.gz,background,4,2,0.9993924595551978,0.5034090820943331,0.5755421509554495,0.9987443334925384,0.014964273414078104,case_patch_macro
real_stage_blur_world_stability,HEM_PA107.nii.gz,foreground,4,2,0.5946954968281203,0.36946394156176676,0.40110452635114285,0.5615872603165236,-0.15081944132429664,case_patch_macro
real_stage_blur_world_stability,HEM_PA107.nii.gz,overall,4,2,0.9895833333333334,0.49996383099264846,0.5178525964593921,0.9908170347637122,0.032898360020705404,case_patch_macro
real_stage_gamma_joint_product,HEM_PA107.nii.gz,background,4,2,0.9993924595551978,0.2774629649513401,0.5838466122021679,0.9989117472028399,0.01636074271894615,case_patch_macro
real_stage_gamma_joint_product,HEM_PA107.nii.gz,foreground,4,2,0.5946954968281203,0.2649363807836373,0.44421196699122745,0.5880704398878048,-0.08625546859637252,case_patch_macro
real_stage_gamma_joint_product,HEM_PA107.nii.gz,overall,4,2,0.9895833333333334,0.2761961108977733,0.47806696635189105,0.9895864608244925,0.014523321303354216,case_patch_macro
real_stage_gamma_world_stability,HEM_PA107.nii.gz,background,4,2,0.9993924595551978,0.5020932798934106,0.5731313826489206,0.9987737052582992,0.014690314982023197,case_patch_macro
real_stage_gamma_world_stability,HEM_PA107.nii.gz,foreground,4,2,0.5946954968281203,0.43367947482658986,0.4529555587325793,0.5981747869384841,-0.07243007464432877,case_patch_macro
real_stage_gamma_world_stability,HEM_PA107.nii.gz,overall,4,2,0.9895833333333334,0.49996383091288243,0.48183362443903277,0.9895633923982282,0.01615618893014721,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA107.nii.gz,background,4,2,0.9993924595551978,0.27811074290423915,0.5877494061663753,0.9988813651284918,0.016912710167513965,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA107.nii.gz,foreground,4,2,0.5946954968281203,0.2265020000179132,0.39949566638829886,0.5554264652588405,-0.15230653362002877,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA107.nii.gz,overall,4,2,0.9895833333333334,0.27605418981067986,0.5094519712462484,0.9907414687563683,0.028753786987401015,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA107.nii.gz,background,4,2,0.9993924595551978,0.5033958542911167,0.5899213956531307,0.9988828972212495,0.017127621134452625,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA107.nii.gz,foreground,4,2,0.5946954968281203,0.37049940454084773,0.3989727371017878,0.5562942774288475,-0.1545945884194992,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA107.nii.gz,overall,4,2,0.9895833333333334,0.49996383104331066,0.5179842759630595,0.990825277541086,0.032119091264398866,case_patch_macro
confidence_rank,HEM_PA81.nii.gz,background,4,1,0.9995040817883574,0.5072548560237375,0.6595737799391954,0.9996897059238807,0.028488301008762172,case_patch_macro
confidence_rank,HEM_PA81.nii.gz,foreground,4,2,0.4669963012215939,0.38084164230173206,0.39856021536821407,0.6392354452315262,-0.16436517892701558,case_patch_macro
confidence_rank,HEM_PA81.nii.gz,overall,4,3,0.9882450810185185,0.5000361773158246,0.5720953831530498,0.9914533063011289,0.09686982638472155,case_patch_macro
real_stage_blur_joint_product,HEM_PA81.nii.gz,background,4,1,0.9995040817883574,0.276327101283205,0.5456240113376418,0.9987915300401963,0.0070321469608708755,case_patch_macro
real_stage_blur_joint_product,HEM_PA81.nii.gz,foreground,4,2,0.4669963012215939,0.12859767271818376,0.43050806773342454,0.6721958394332483,-0.11188461353059712,case_patch_macro
real_stage_blur_joint_product,HEM_PA81.nii.gz,overall,4,3,0.9882450810185185,0.271965280903353,0.7275575843060643,0.9897530089717465,0.04423735772136195,case_patch_macro
real_stage_blur_world_stability,HEM_PA81.nii.gz,background,4,1,0.9995040817883574,0.5068524679309415,0.5067934702710332,0.9987646283399338,0.0010470951571295189,case_patch_macro
real_stage_blur_world_stability,HEM_PA81.nii.gz,foreground,4,2,0.4669963012215939,0.23154472415974234,0.44280163429765157,0.67562181743355,-0.09328178881772911,case_patch_macro
real_stage_blur_world_stability,HEM_PA81.nii.gz,overall,4,3,0.9882450810185185,0.49996383105516784,0.7307561113098897,0.9896724331417196,0.045398513673105156,case_patch_macro
real_stage_gamma_joint_product,HEM_PA81.nii.gz,background,4,1,0.9995040817883574,0.27643365275248694,0.545526982764197,0.9987007454871892,0.0070171916983611535,case_patch_macro
real_stage_gamma_joint_product,HEM_PA81.nii.gz,foreground,4,2,0.4669963012215939,0.20740556310418254,0.435917217224884,0.6749120124499962,-0.11049301651430128,case_patch_macro
real_stage_gamma_joint_product,HEM_PA81.nii.gz,overall,4,3,0.9882450810185185,0.27247559719546993,0.5816430231103529,0.9891583315518877,0.03387041193545087,case_patch_macro
real_stage_gamma_world_stability,HEM_PA81.nii.gz,background,4,1,0.9995040817883574,0.5062104972247394,0.5082753612109165,0.998493007596213,0.0012755028447062162,case_patch_macro
real_stage_gamma_world_stability,HEM_PA81.nii.gz,foreground,4,2,0.4669963012215939,0.3816456779169503,0.44534350242448484,0.6779531627992339,-0.0967645186297668,case_patch_macro
real_stage_gamma_world_stability,HEM_PA81.nii.gz,overall,4,3,0.9882450810185185,0.49996383095384334,0.5857670731967858,0.9889221761719921,0.034898396435232355,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA81.nii.gz,background,4,1,0.9995040817883574,0.2767516807620554,0.5443832217014695,0.9987905613899213,0.0068409008425729485,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA81.nii.gz,foreground,4,2,0.4669963012215939,0.12678602583267182,0.41982064017161924,0.6648754795547096,-0.1298655225227788,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA81.nii.gz,overall,4,3,0.9882450810185185,0.2722716891210668,0.7229670298162922,0.9897030110492849,0.040762166772608494,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA81.nii.gz,background,4,1,0.9995040817883574,0.5069510736860217,0.503146077987451,0.9987614284604378,0.00048491314352979857,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA81.nii.gz,foreground,4,2,0.4669963012215939,0.228653389314417,0.4283741879808922,0.6677614087029571,-0.11629836583031308,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA81.nii.gz,overall,4,3,0.9882450810185185,0.4999638310540899,0.7256078289858782,0.9897174333772794,0.041576490587937574,case_patch_macro
confidence_rank,HEM_PA89.nii.gz,background,4,4,0.9948469758558648,0.5030087193209339,0.8657824104311466,0.9987068620051546,0.1514759321590335,case_patch_macro
confidence_rank,HEM_PA89.nii.gz,foreground,4,3,0.5834142349332484,0.39541572025036986,0.3476999641090121,0.498807050726751,-0.31276783721301926,case_patch_macro
confidence_rank,HEM_PA89.nii.gz,overall,4,4,0.9830367476851851,0.5000361769166102,0.6634933225240516,0.9858197162543152,0.10034433463704284,case_patch_macro
real_stage_blur_joint_product,HEM_PA89.nii.gz,background,4,4,0.9948469758558648,0.28585072871729245,0.9210727003915173,0.9987967079759665,0.10404758383399573,case_patch_macro
real_stage_blur_joint_product,HEM_PA89.nii.gz,foreground,4,3,0.5834142349332484,0.2576816434970741,0.2986676263804661,0.47064666505839475,-0.34409407282400023,case_patch_macro
real_stage_blur_joint_product,HEM_PA89.nii.gz,overall,4,4,0.9830367476851851,0.28489996422710423,0.6403089263056481,0.9837662943409182,0.037933759283406934,case_patch_macro
real_stage_blur_world_stability,HEM_PA89.nii.gz,background,4,4,0.9948469758558648,0.5017683489402887,0.9197853304936564,0.9985590768339759,0.10386415120175391,case_patch_macro
real_stage_blur_world_stability,HEM_PA89.nii.gz,foreground,4,3,0.5834142349332484,0.4347794948616152,0.29982496872678316,0.47553185715895113,-0.34204021154118874,case_patch_macro
real_stage_blur_world_stability,HEM_PA89.nii.gz,overall,4,4,0.9830367476851851,0.4999638310131289,0.636921348013764,0.9835585439772374,0.0375079974189935,case_patch_macro
real_stage_gamma_joint_product,HEM_PA89.nii.gz,background,4,4,0.9948469758558648,0.2880272840761798,0.8347587254968706,0.9956123565885386,0.08197914286863059,case_patch_macro
