case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
HEP_PA28.nii.gz,0,context,real_stage_gamma_joint_product,overall,13824,0.9786603009259259,0.300998075849085,0.5422090149095916,0.96133763317906,0.02113031879774932
HEP_PA28.nii.gz,0,context,real_stage_gamma_joint_product,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_stage_gamma_joint_product,background,13824,0.9786603009259259,0.300998075849085,0.5422090149095916,0.96133763317906,0.02113031879774932
HEP_PA28.nii.gz,0,context,real_stage_blur_joint_product,overall,13824,0.9786603009259259,0.29794335689603946,0.5883857776953713,0.9686431182710074,0.044246932289167325
HEP_PA28.nii.gz,0,context,real_stage_blur_joint_product,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_stage_blur_joint_product,background,13824,0.9786603009259259,0.29794335689603946,0.5883857776953713,0.9686431182710074,0.044246932289167325
HEP_PA28.nii.gz,0,context,real_stage_pairwise_joint_product,overall,13824,0.9786603009259259,0.29883938776333524,0.5964916544622914,0.9690901978842787,0.04830482677764251
HEP_PA28.nii.gz,0,context,real_stage_pairwise_joint_product,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_stage_pairwise_joint_product,background,13824,0.9786603009259259,0.29883938776333524,0.5964916544622914,0.9690901978842787,0.04830482677764251
HEP_PA28.nii.gz,1,context,confidence_rank,overall,13824,0.9940682870370371,0.5000361667806453,0.4984718381603842,0.9940502389174695,-0.004264320194776806
HEP_PA28.nii.gz,1,context,confidence_rank,foreground,88,0.07954545454545454,0.5015552639961243,0.5,0.07954545454545454,
HEP_PA28.nii.gz,1,context,confidence_rank,background,13736,0.9999271986022131,0.5000264346493872,0.49847105933745905,0.9999269756698508,-0.00047254641588361895
HEP_PA28.nii.gz,1,context,real_stage_gamma_world_stability,overall,13824,0.9940682870370371,0.4999638313850112,0.2411948770193567,0.9908195226799503,-0.06884338858444247
HEP_PA28.nii.gz,1,context,real_stage_gamma_world_stability,foreground,88,0.07954545454545454,0.7272456010634248,0.026455026455026474,0.047012870113001246,-0.4439036887922902
HEP_PA28.nii.gz,1,context,real_stage_gamma_world_stability,background,13736,0.9999271986022131,0.4985077454988944,0.18711321441572626,0.9998780074895292,-0.009247673313277074
HEP_PA28.nii.gz,1,context,real_stage_blur_world_stability,overall,13824,0.9940682870370371,0.49996383101851855,0.2753344739822017,0.9911133630588458,-0.059762015275731405
HEP_PA28.nii.gz,1,context,real_stage_blur_world_stability,foreground,88,0.07954545454545454,0.6850873651829633,0.06878306878306878,0.04796447777295078,-0.40422514677733684
HEP_PA28.nii.gz,1,context,real_stage_blur_world_stability,background,13736,0.9999271986022131,0.49877783283808236,0.334255551510739,0.9999202306528017,-0.00489873182052972
HEP_PA28.nii.gz,1,context,real_stage_pairwise_world_stability,overall,13824,0.9940682870370371,0.49996383101851855,0.27282747212568914,0.9910875088982164,-0.06042888876496143
HEP_PA28.nii.gz,1,context,real_stage_pairwise_world_stability,foreground,88,0.07954545454545454,0.6875863122669134,0.06878306878306878,0.04796447777295078,-0.40422514677733684
HEP_PA28.nii.gz,1,context,real_stage_pairwise_world_stability,background,13736,0.9999271986022131,0.49876182327610014,0.3286494357480888,0.999918999592348,-0.0050644258025990315
