case,patch_index,patch_kind,action,action_strength,wrong_type_action,wrong_type_strength,true_shift_norm,conditioned_shift_norm,same_model_no_action_shift_norm,matched_wrong_shift_norm,conditioned_vs_same_model_no_action_distance,gamma_vs_blur_conditioned_distance,conditioned_state_mse,same_model_no_action_state_mse,matched_wrong_state_mse,correct_vs_same_model_no_action_margin,correct_vs_matched_wrong_margin,conditioned_delta_cosine,same_model_no_action_delta_cosine,matched_wrong_delta_cosine,conditioned_delta_cosine_valid,same_model_no_action_delta_cosine_valid,matched_wrong_delta_cosine_valid,magnitude_ratio_conditioned,magnitude_ratio_conditioned_valid,repeat_forward_distance
HEM_PA81.nii.gz,2,foreground,blur,1.5,gamma,0.3,845.1715698242188,311.3962097167969,205.3949737548828,15.500325202941895,0.08158987015485764,0.15572898089885712,0.16959716379642487,0.16866402328014374,0.17947843670845032,-0.0009331405162811279,0.009881272912025452,0.2584953010082245,0.24481816589832306,-0.00017130159540101886,True,True,True,0.36844141572528516,True,0.0
HEM_PA81.nii.gz,3,foreground,gamma,0.3,blur,1.5,424.0621337890625,13.867568969726562,210.14247131347656,326.73980712890625,0.1049460843205452,0.16393977403640747,0.04504335671663284,0.05628769472241402,0.07351042330265045,0.011244338005781174,0.02846706658601761,0.058612093329429626,-0.000618895806837827,-0.021941589191555977,True,True,True,0.03270173841228791,True,0.0
HEM_PA81.nii.gz,3,foreground,blur,1.5,gamma,0.3,862.9313354492188,326.73980712890625,210.14247131347656,13.867568969726562,0.083867646753788,0.16393977403640747,0.17071740329265594,0.17186403274536133,0.1870494782924652,0.0011466294527053833,0.016332074999809265,0.30453571677207947,0.28831708431243896,0.0058678011409938335,True,True,True,0.3786394046738543,True,0.0
HEM_PA89.nii.gz,0,context,gamma,0.3,blur,1.5,272.5879821777344,13.720320701599121,271.33837890625,371.57373046875,0.13672888278961182,0.18734832108020782,0.01867724396288395,0.03486508131027222,0.05037728324532509,0.016187837347388268,0.03170003928244114,0.017715565860271454,0.06165176257491112,0.05826817825436592,True,True,True,0.05033354952770119,True,0.0
HEM_PA89.nii.gz,0,context,blur,1.5,gamma,0.3,1048.7740478515625,371.57373046875,271.33837890625,13.720320701599121,0.08522344380617142,0.18734832108020782,0.2119857221841812,0.22606229782104492,0.27713677287101746,0.014076575636863708,0.06515105068683624,0.5055376291275024,0.48059266805648804,-0.11302223801612854,True,True,True,0.3542934068877155,True,0.0
HEM_PA89.nii.gz,1,context,gamma,0.3,blur,1.5,325.1905517578125,13.706500053405762,248.48779296875,361.3513488769531,0.12424963712692261,0.1811971217393875,0.02659575082361698,0.04671666398644447,0.0670795813202858,0.020120913162827492,0.040483830496668816,0.005695248953998089,-0.11446293443441391,-0.1308041363954544,True,True,True,0.042149133728872155,True,0.0
HEM_PA89.nii.gz,1,context,blur,1.5,gamma,0.3,969.2922973632812,361.3513488769531,248.48779296875,13.706500053405762,0.08805083483457565,0.1811971217393875,0.19549943506717682,0.2069898098707199,0.23618337512016296,0.01149037480354309,0.040683940052986145,0.416493684053421,0.36781659722328186,-0.02274642139673233,True,True,True,0.3727991544551831,True,0.0
HEM_PA89.nii.gz,2,foreground,gamma,0.3,blur,1.5,383.8890075683594,15.77319622039795,235.92518615722656,348.08795166015625,0.11775553226470947,0.17440937459468842,0.03709711506962776,0.051719434559345245,0.06913653016090393,0.014622319489717484,0.03203941509127617,-0.006244700867682695,-0.01589815691113472,-0.0251375213265419,True,True,True,0.041087907987543006,True,0.0
HEM_PA89.nii.gz,2,foreground,blur,1.5,gamma,0.3,1008.3732299804688,348.08795166015625,235.92518615722656,15.77319622039795,0.08708071708679199,0.17440937459468842,0.21074144542217255,0.22442401945590973,0.2554006278514862,0.013682574033737183,0.04465918242931366,0.42585790157318115,0.3761554956436157,0.00741259241476655,True,True,True,0.345197533324936,True,0.0
HEM_PA89.nii.gz,3,foreground,gamma,0.3,blur,1.5,330.60955810546875,16.287710189819336,243.72573852539062,361.5493469238281,0.12154829502105713,0.1812361180782318,0.02749495580792427,0.04860623925924301,0.06957905739545822,0.02111128345131874,0.04208410158753395,0.009468023665249348,-0.15396055579185486,-0.15475110709667206,True,True,True,0.04926569662158208,True,0.0
HEM_PA89.nii.gz,3,foreground,blur,1.5,gamma,0.3,955.31298828125,361.5493469238281,243.72573852539062,16.287710189819336,0.09017571061849594,0.1812361180782318,0.19751191139221191,0.20423367619514465,0.22905105352401733,0.006721764802932739,0.03153914213180542,0.3720173239707947,0.3412449359893799,0.030986888334155083,True,True,True,0.3784616679129519,True,0.0
