source,action,case,region,count,mean,median,p10,p50,p90
joint_product,all,HEM_PA107.nii.gz,TP,405600,0.00239324128372682,0.005,0.005,0.005,0.005
joint_product,all,HEM_PA107.nii.gz,FP,20696,0.0014506094709095393,0.005,0.005,0.005,0.005
joint_product,all,HEM_PA107.nii.gz,TN,27808222,0.25962309817391416,0.215,0.045,0.215,0.485
joint_product,all,HEM_PA107.nii.gz,FN,77034,0.0020734643466247694,0.005,0.005,0.005,0.005
confidence_rank,blur,HEM_PA81.nii.gz,FN,197342,0.044100359174927786,0.045,0.005,0.045,0.085
confidence_rank,blur,HEM_PA81.nii.gz,FP,856,0.007529054633397914,0.005,0.005,0.005,0.015
confidence_rank,blur,HEM_PA81.nii.gz,TN,13607703,0.5185027484939033,0.505,0.265,0.505,0.805
confidence_rank,blur,HEM_PA81.nii.gz,TP,349875,0.03872301532498457,0.035,0.005,0.035,0.065
confidence_rank,gamma,HEM_PA81.nii.gz,FN,197342,0.044100359174927786,0.045,0.005,0.045,0.085
confidence_rank,gamma,HEM_PA81.nii.gz,FP,856,0.007529054633397914,0.005,0.005,0.005,0.015
confidence_rank,gamma,HEM_PA81.nii.gz,TN,13607703,0.5185027484939033,0.505,0.265,0.505,0.805
confidence_rank,gamma,HEM_PA81.nii.gz,TP,349875,0.03872301532498457,0.035,0.005,0.035,0.065
joint_product,blur,HEM_PA81.nii.gz,FN,197342,0.008828804027153159,0.005,0.005,0.005,0.025
joint_product,blur,HEM_PA81.nii.gz,FP,856,0.0001508788115553226,0.005,0.005,0.005,0.005
joint_product,blur,HEM_PA81.nii.gz,TN,13607703,0.2720185451717647,0.235,0.055,0.235,0.495
joint_product,blur,HEM_PA81.nii.gz,TP,349875,0.0017063810101778985,0.005,0.005,0.005,0.005
joint_product,gamma,HEM_PA81.nii.gz,FN,197342,0.008828804027153159,0.005,0.005,0.005,0.025
joint_product,gamma,HEM_PA81.nii.gz,FP,856,0.0001508788115553226,0.005,0.005,0.005,0.005
joint_product,gamma,HEM_PA81.nii.gz,TN,13607703,0.2720185451717647,0.235,0.055,0.235,0.495
joint_product,gamma,HEM_PA81.nii.gz,TP,349875,0.0017063810101778985,0.005,0.005,0.005,0.005
world_pairwise,blur,HEM_PA81.nii.gz,FN,197342,0.1401314197686532,0.065,0.015,0.065,0.445
world_pairwise,blur,HEM_PA81.nii.gz,FP,856,0.01780715828465524,0.015,0.005,0.015,0.035
world_pairwise,blur,HEM_PA81.nii.gz,TN,13607703,0.5170719075403238,0.515,0.135,0.515,0.905
world_pairwise,blur,HEM_PA81.nii.gz,TP,349875,0.040177191676050904,0.035,0.005,0.035,0.075
world_pairwise,gamma,HEM_PA81.nii.gz,FN,197342,0.1401314197686532,0.065,0.015,0.065,0.445
world_pairwise,gamma,HEM_PA81.nii.gz,FP,856,0.01780715828465524,0.015,0.005,0.015,0.035
world_pairwise,gamma,HEM_PA81.nii.gz,TN,13607703,0.5170719075403238,0.515,0.135,0.515,0.905
world_pairwise,gamma,HEM_PA81.nii.gz,TP,349875,0.040177191676050904,0.035,0.005,0.035,0.075
confidence_rank,all,HEM_PA81.nii.gz,TP,699750,0.03872301532498457,0.035,0.005,0.035,0.065
confidence_rank,all,HEM_PA81.nii.gz,FP,1712,0.007529054633397914,0.005,0.005,0.005,0.015
confidence_rank,all,HEM_PA81.nii.gz,TN,27215406,0.5185027484939033,0.505,0.265,0.505,0.805
confidence_rank,all,HEM_PA81.nii.gz,FN,394684,0.044100359174927786,0.045,0.005,0.045,0.085
world_pairwise,all,HEM_PA81.nii.gz,TP,699750,0.040177191676050904,0.035,0.005,0.035,0.075
world_pairwise,all,HEM_PA81.nii.gz,FP,1712,0.01780715828465524,0.015,0.005,0.015,0.035
world_pairwise,all,HEM_PA81.nii.gz,TN,27215406,0.5170719075403238,0.515,0.135,0.515,0.905
world_pairwise,all,HEM_PA81.nii.gz,FN,394684,0.1401314197686532,0.065,0.015,0.065,0.445
joint_product,all,HEM_PA81.nii.gz,TP,699750,0.0017063810101778985,0.005,0.005,0.005,0.005
joint_product,all,HEM_PA81.nii.gz,FP,1712,0.0001508788115553226,0.005,0.005,0.005,0.005
joint_product,all,HEM_PA81.nii.gz,TN,27215406,0.2720185451717647,0.235,0.055,0.235,0.495
joint_product,all,HEM_PA81.nii.gz,FN,394684,0.008828804027153159,0.005,0.005,0.005,0.025
confidence_rank,blur,HEM_PA89.nii.gz,FN,82409,0.02835730767015626,0.025,0.005,0.025,0.055
confidence_rank,blur,HEM_PA89.nii.gz,FP,67499,0.01045027397678916,0.005,0.005,0.005,0.025
confidence_rank,blur,HEM_PA89.nii.gz,TN,13799102,0.5122168310866272,0.585,0.135,0.585,0.805
confidence_rank,blur,HEM_PA89.nii.gz,TP,206766,0.03247285564573424,0.035,0.005,0.035,0.055
confidence_rank,gamma,HEM_PA89.nii.gz,FN,82409,0.02835730767015626,0.025,0.005,0.025,0.055
confidence_rank,gamma,HEM_PA89.nii.gz,FP,67499,0.01045027397678916,0.005,0.005,0.005,0.025
confidence_rank,gamma,HEM_PA89.nii.gz,TN,13799102,0.5122168310866272,0.585,0.135,0.585,0.805
confidence_rank,gamma,HEM_PA89.nii.gz,TP,206766,0.03247285564573424,0.035,0.005,0.035,0.055
joint_product,blur,HEM_PA89.nii.gz,FN,82409,0.006531875204901455,0.005,0.005,0.005,0.015
joint_product,blur,HEM_PA89.nii.gz,FP,67499,0.000764492631828922,0.005,0.005,0.005,0.005
joint_product,blur,HEM_PA89.nii.gz,TN,13799102,0.26541881737841616,0.205,0.035,0.205,0.555
joint_product,blur,HEM_PA89.nii.gz,TP,206766,0.001065769849142858,0.005,0.005,0.005,0.005
joint_product,gamma,HEM_PA89.nii.gz,FN,82409,0.006531875204901455,0.005,0.005,0.005,0.015
joint_product,gamma,HEM_PA89.nii.gz,FP,67499,0.000764492631828922,0.005,0.005,0.005,0.005
joint_product,gamma,HEM_PA89.nii.gz,TN,13799102,0.26541881737841616,0.205,0.035,0.205,0.555
joint_product,gamma,HEM_PA89.nii.gz,TP,206766,0.001065769849142858,0.005,0.005,0.005,0.005
world_pairwise,blur,HEM_PA89.nii.gz,FN,82409,0.15612074298198667,0.085,0.015,0.085,0.395
world_pairwise,blur,HEM_PA89.nii.gz,FP,67499,0.07040907709624573,0.005,0.005,0.005,0.045
world_pairwise,blur,HEM_PA89.nii.gz,TN,13799102,0.5111852791923537,0.515,0.115,0.515,0.905
world_pairwise,blur,HEM_PA89.nii.gz,TP,206766,0.030812100986650614,0.025,0.005,0.025,0.055
world_pairwise,gamma,HEM_PA89.nii.gz,FN,82409,0.15612074298198667,0.085,0.015,0.085,0.395
world_pairwise,gamma,HEM_PA89.nii.gz,FP,67499,0.07040907709624573,0.005,0.005,0.005,0.045
world_pairwise,gamma,HEM_PA89.nii.gz,TN,13799102,0.5111852791923537,0.515,0.115,0.515,0.905
world_pairwise,gamma,HEM_PA89.nii.gz,TP,206766,0.030812100986650614,0.025,0.005,0.025,0.055
confidence_rank,all,HEM_PA89.nii.gz,TP,413532,0.03247285564573424,0.035,0.005,0.035,0.055
confidence_rank,all,HEM_PA89.nii.gz,FP,134998,0.01045027397678916,0.005,0.005,0.005,0.025
confidence_rank,all,HEM_PA89.nii.gz,TN,27598204,0.5122168310866272,0.585,0.135,0.585,0.805
confidence_rank,all,HEM_PA89.nii.gz,FN,164818,0.02835730767015626,0.025,0.005,0.025,0.055
world_pairwise,all,HEM_PA89.nii.gz,TP,413532,0.030812100986650614,0.025,0.005,0.025,0.055
world_pairwise,all,HEM_PA89.nii.gz,FP,134998,0.07040907709624573,0.005,0.005,0.005,0.045
world_pairwise,all,HEM_PA89.nii.gz,TN,27598204,0.5111852791923537,0.515,0.115,0.515,0.905
world_pairwise,all,HEM_PA89.nii.gz,FN,164818,0.15612074298198667,0.085,0.015,0.085,0.395
joint_product,all,HEM_PA89.nii.gz,TP,413532,0.001065769849142858,0.005,0.005,0.005,0.005
joint_product,all,HEM_PA89.nii.gz,FP,134998,0.000764492631828922,0.005,0.005,0.005,0.005
joint_product,all,HEM_PA89.nii.gz,TN,27598204,0.26541881737841616,0.205,0.035,0.205,0.555
joint_product,all,HEM_PA89.nii.gz,FN,164818,0.006531875204901455,0.005,0.005,0.005,0.015
confidence_rank,blur,HEM_PA101.nii.gz,FN,143434,0.046866035135871585,0.035,0.005,0.035,0.085
confidence_rank,blur,HEM_PA101.nii.gz,FP,1864,0.008082247982319641,0.005,0.005,0.005,0.015
confidence_rank,blur,HEM_PA101.nii.gz,TN,13705428,0.5151908330928161,0.505,0.255,0.505,0.805
confidence_rank,blur,HEM_PA101.nii.gz,TP,305050,0.03357087938450664,0.035,0.005,0.035,0.055
confidence_rank,gamma,HEM_PA101.nii.gz,FN,143434,0.046866035135871585,0.035,0.005,0.035,0.085
confidence_rank,gamma,HEM_PA101.nii.gz,FP,1864,0.008082247982319641,0.005,0.005,0.005,0.015
confidence_rank,gamma,HEM_PA101.nii.gz,TN,13705428,0.5151908330928161,0.505,0.255,0.505,0.805
confidence_rank,gamma,HEM_PA101.nii.gz,TP,305050,0.03357087938450664,0.035,0.005,0.035,0.055
joint_product,blur,HEM_PA101.nii.gz,FN,143434,0.015137522765579899,0.005,0.005,0.005,0.045
joint_product,blur,HEM_PA101.nii.gz,FP,1864,0.00016551082797862496,0.005,0.005,0.005,0.005
joint_product,blur,HEM_PA101.nii.gz,TN,13705428,0.2603347566025408,0.225,0.065,0.225,0.475
joint_product,blur,HEM_PA101.nii.gz,TP,305050,0.0034167511408200934,0.005,0.005,0.005,0.005
joint_product,gamma,HEM_PA101.nii.gz,FN,143434,0.015137522765579899,0.005,0.005,0.005,0.045
joint_product,gamma,HEM_PA101.nii.gz,FP,1864,0.00016551082797862496,0.005,0.005,0.005,0.005
joint_product,gamma,HEM_PA101.nii.gz,TN,13705428,0.2603347566025408,0.225,0.065,0.225,0.475
joint_product,gamma,HEM_PA101.nii.gz,TP,305050,0.0034167511408200934,0.005,0.005,0.005,0.005
world_pairwise,blur,HEM_PA101.nii.gz,FN,143434,0.19059858679503805,0.075,0.015,0.075,0.585
world_pairwise,blur,HEM_PA101.nii.gz,FP,1864,0.02213563901160408,0.025,0.005,0.025,0.035
world_pairwise,blur,HEM_PA101.nii.gz,TN,13705428,0.5128150165672425,0.515,0.125,0.515,0.905
world_pairwise,blur,HEM_PA101.nii.gz,TP,305050,0.0726377143005605,0.035,0.005,0.035,0.085
