case,target_prompt,action,n_patches,real_change_rate,predicted_change_rate,change_direction_cosine,relative_target_nmse,correct_nmse_improvement_vs_source_pct,correct_nmse_improvement_vs_wrong_spleen_pct,correct_nmse_improvement_vs_wrong_left_kidney_pct,correct_nmse_improvement_vs_wrong_right_kidney_pct
HEM_PA81.nii.gz,the liver,wrong_spleen,4,0.09171573910862207,0.07082889415323734,0.7493613809347153,0.0038765173230785877,,,,
HEM_PA89.nii.gz,hepatic organ,correct_action,4,0.2984018176794052,0.2654344476759434,0.965346023440361,0.01237835708889179,87.76486865996111,86.74611933884682,81.98378042089753,71.82024133878514
HEM_PA89.nii.gz,hepatic organ,source_identity,4,0.2984018176794052,0.0,,0.1011706106364727,,,,
HEM_PA89.nii.gz,hepatic organ,wrong_left_kidney,4,0.2984018176794052,0.11843481287360191,0.5298622027039528,0.06870673969388008,,,,
HEM_PA89.nii.gz,hepatic organ,wrong_right_kidney,4,0.2984018176794052,0.1480046510696411,0.7391812801361084,0.04392641270533204,,,,
HEM_PA89.nii.gz,hepatic organ,wrong_spleen,4,0.2984018176794052,0.09628336876630783,0.22684280201792717,0.09339420963078737,,,,
HEM_PA89.nii.gz,human liver,correct_action,4,0.20689040794968605,0.2165054902434349,0.9669027328491211,0.003612873115343973,91.61108418245679,90.85205058297207,80.17831998093911,90.3744684956624
HEM_PA89.nii.gz,human liver,source_identity,4,0.20689040794968605,0.0,,0.04306722339242697,,,,
HEM_PA89.nii.gz,human liver,wrong_left_kidney,4,0.20689040794968605,0.11843481287360191,0.7858788669109344,0.018226876389235258,,,,
HEM_PA89.nii.gz,human liver,wrong_right_kidney,4,0.20689040794968605,0.1480046510696411,0.4470483586192131,0.037534271366894245,,,,
HEM_PA89.nii.gz,human liver,wrong_spleen,4,0.20689040794968605,0.09628336876630783,0.31004809215664864,0.039493802934885025,,,,
HEM_PA89.nii.gz,the liver,correct_action,4,0.1079513281583786,0.10584371536970139,0.9665494859218597,0.0008104148728307337,93.06387655269677,66.05096565673314,94.1360484278394,96.45687305456984
HEM_PA89.nii.gz,the liver,source_identity,4,0.1079513281583786,0.0,,0.011683974182233214,,,,
HEM_PA89.nii.gz,the liver,wrong_left_kidney,4,0.1079513281583786,0.11843481287360191,0.5137054622173309,0.01382028590887785,,,,
HEM_PA89.nii.gz,the liver,wrong_right_kidney,4,0.1079513281583786,0.1480046510696411,0.4887331649661064,0.022872871486470103,,,,
HEM_PA89.nii.gz,the liver,wrong_spleen,4,0.1079513281583786,0.09628336876630783,0.8984127044677734,0.002387151471339166,,,,
HEP_PA28.nii.gz,hepatic organ,correct_action,4,0.5260907709598541,0.41895245388150215,0.8729317337274551,0.16012816899456084,54.440332808715524,49.08013492697272,24.55426935831249,14.137505187834666
HEP_PA28.nii.gz,hepatic organ,source_identity,4,0.5260907709598541,0.0,,0.35146913677453995,,,,
HEP_PA28.nii.gz,hepatic organ,wrong_left_kidney,4,0.5260907709598541,0.21388613618910313,0.6697806343436241,0.21224285010248423,,,,
HEP_PA28.nii.gz,hepatic organ,wrong_right_kidney,4,0.5260907709598541,0.2630039993673563,0.7660074681043625,0.18649372970685363,,,,
HEP_PA28.nii.gz,hepatic organ,wrong_spleen,4,0.5260907709598541,0.10216470621526241,0.34292986802756786,0.3144709216430783,,,,
HEP_PA28.nii.gz,human liver,correct_action,4,0.2846536189317703,0.34241313859820366,0.9535652548074722,0.0223940628929995,75.32326334961901,70.1134054697988,21.685549590867442,56.1457634093468
HEP_PA28.nii.gz,human liver,source_identity,4,0.2846536189317703,0.0,,0.09074969356879592,,,,
HEP_PA28.nii.gz,human liver,wrong_left_kidney,4,0.2846536189317703,0.21388613618910313,0.8116497248411179,0.028595058480277658,,,,
HEP_PA28.nii.gz,human liver,wrong_right_kidney,4,0.2846536189317703,0.2630039993673563,0.6131165698170662,0.05106476508080959,,,,
HEP_PA28.nii.gz,human liver,wrong_spleen,4,0.2846536189317703,0.10216470621526241,0.3794773295521736,0.07493012584745884,,,,
HEP_PA28.nii.gz,the liver,correct_action,4,0.16874987073242664,0.10811780020594597,0.7739908620715141,0.028637199706281535,27.7068383032411,-3.5456970080548187,60.88186992699691,69.9501555426496
HEP_PA28.nii.gz,the liver,source_identity,4,0.16874987073242664,0.0,,0.03961259825155139,,,,
HEP_PA28.nii.gz,the liver,wrong_left_kidney,4,0.16874987073242664,0.21388613618910313,0.4496763311326504,0.07320697500836104,,,,
HEP_PA28.nii.gz,the liver,wrong_right_kidney,4,0.16874987073242664,0.2630039993673563,0.43521032854914665,0.09529899479821324,,,,
HEP_PA28.nii.gz,the liver,wrong_spleen,4,0.16874987073242664,0.10216470621526241,0.7166646271944046,0.027656581136398017,,,,
