table,scope,case,action,comparison_group,layer,patch_count,normalized_mse_to_real_action,delta_cosine_to_real_action,magnitude_ratio_to_real_action,probability_mse_to_real_oracle,probability_mae_to_real_oracle,logits_mse_to_real_oracle,mask_dice_to_real_oracle,mask_iou_to_real_oracle
encoder,context,,gamma,correct_action_wp,encoder_bottleneck_deepest,18,0.01633716209067239,-0.014802028137233315,0.11345747651325332,,,,,
final,context,,gamma,correct_action_wp,,18,,,,0.0002615192851307155,0.0006955198102031507,1.9489118398891554,0.9773590204879969,0.9576283567343532
encoder,context,,gamma,wrong_action_wp,encoder_stage_2,18,0.09777114664514859,-0.035457692382300995,2.002671288119422,,,,,
encoder,context,,gamma,wrong_action_wp,encoder_stage_3,18,0.0358699651228057,-0.03906551905028108,1.0708668099509344,,,,,
encoder,context,,gamma,wrong_action_wp,encoder_stage_4,18,0.02686965372413397,-0.03703296184539795,0.5405753867493736,,,,,
encoder,context,,gamma,wrong_action_wp,encoder_stage_5,18,0.026517904363572598,-0.015552338277403679,0.5703300105200874,,,,,
encoder,context,,gamma,wrong_action_wp,encoder_bottleneck_deepest,18,0.01633716209067239,-0.014802028137233315,0.11345747651325332,,,,,
final,context,,gamma,wrong_action_wp,,18,,,,0.0005191966892097197,0.0010927951597199297,2.4754521979226007,0.9643072709759155,0.9351630035337257
encoder,context,,gamma,real_action_oracle,encoder_stage_2,18,0.0,0.9999989072481791,1.0,,,,,
encoder,context,,gamma,real_action_oracle,encoder_stage_3,18,0.0,0.9999998145633273,1.0,,,,,
encoder,context,,gamma,real_action_oracle,encoder_stage_4,18,0.0,0.9999999834431542,1.0,,,,,
encoder,context,,gamma,real_action_oracle,encoder_stage_5,18,0.0,1.0000000165568457,1.0,,,,,
encoder,context,,gamma,real_action_oracle,encoder_bottleneck_deepest,18,0.0,1.000000043047799,1.0,,,,,
final,context,,gamma,real_action_oracle,,18,,,,0.0,0.0,0.0,1.0,1.0
encoder,context,,blur,identity_source,encoder_stage_2,18,0.1984964824385113,,0.0,,,,,
encoder,context,,blur,identity_source,encoder_stage_3,18,0.13276966330077913,,0.0,,,,,
encoder,context,,blur,identity_source,encoder_stage_4,18,0.11816109758284357,,0.0,,,,,
encoder,context,,blur,identity_source,encoder_stage_5,18,0.12738090091281468,,0.0,,,,,
encoder,context,,blur,identity_source,encoder_bottleneck_deepest,18,0.09863126319315699,,0.0,,,,,
final,context,,blur,identity_source,,18,,,,0.0022465539837463033,0.0031497793582623813,61.24165246884028,0.817242494394289,0.7655511912157738
encoder,context,,blur,correct_action_wp,encoder_stage_2,18,0.14207564832435715,0.5387892739640342,0.63163580165969,,,,,
encoder,context,,blur,correct_action_wp,encoder_stage_3,18,0.12238234074579345,0.2891684298714002,0.3725081698762046,,,,,
encoder,context,,blur,correct_action_wp,encoder_stage_4,18,0.11640795403056675,0.13702738864554298,0.21189803133408228,,,,,
encoder,context,,blur,correct_action_wp,encoder_stage_5,18,0.1254868432879448,0.1386234804780947,0.2183525347047382,,,,,
encoder,context,,blur,correct_action_wp,encoder_bottleneck_deepest,18,0.09835641748375362,0.053730864750428334,0.04372000777059131,,,,,
final,context,,blur,correct_action_wp,,18,,,,0.001982160940921555,0.002854467434295828,61.62461221218109,0.8236743333440933,0.7750857275940715
encoder,context,,blur,wrong_action_wp,encoder_stage_2,18,0.20202619830767313,-0.04106630157265398,0.10003886661595768,,,,,
encoder,context,,blur,wrong_action_wp,encoder_stage_3,18,0.13366073328587744,-0.03571828021409197,0.05511207216315799,,,,,
encoder,context,,blur,wrong_action_wp,encoder_stage_4,18,0.11844313806957668,-0.015379051554999832,0.03627995577537351,,,,,
encoder,context,,blur,wrong_action_wp,encoder_stage_5,18,0.1274007505012883,0.0055434607848938965,0.019584196516209178,,,,,
encoder,context,,blur,wrong_action_wp,encoder_bottleneck_deepest,18,0.09835641748375362,0.053730864750428334,0.04372000777059131,,,,,
final,context,,blur,wrong_action_wp,,18,,,,0.002245105835350437,0.0031512889674806554,61.25246129433314,0.816879704014435,0.7652884298263398
encoder,context,,blur,real_action_oracle,encoder_stage_2,18,0.0,1.0000000033113692,1.0,,,,,
encoder,context,,blur,real_action_oracle,encoder_stage_3,18,0.0,0.9999998509883881,1.0,,,,,
encoder,context,,blur,real_action_oracle,encoder_stage_4,18,0.0,0.9999999900658926,1.0,,,,,
