variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,delta_dice_vs_A_init,delta_foreground_iou_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A1_world,forward,16,HEM_PA107.nii.gz,full_volume,468446,81258,11697343,352169,0.6837035755907931,0.8521786270429177,0.5708474741504846,0.5194145960684043,0.05907231369780441,0.06525910700828513,-0.07168425551579338,0.0990330422914521
A1_world,forward,20,CYST_PA62.nii.gz,full_volume,528691,302284,11788786,684635,0.5172340081035034,0.6362297301362857,0.4357369742344597,0.348830503889523,0.08753941170859819,0.07519290740133944,-0.035830254078394685,0.11993149409144782
A1_world,forward,20,HEM_PA29.nii.gz,full_volume,695400,212223,14289284,716655,0.5995659742429769,0.7661771462380306,0.4924737350882225,0.4281286824053518,0.07797368010558725,0.07532188082482649,-0.03414604973945412,0.10561415808874303
A1_world,forward,20,HEP_PA28.nii.gz,full_volume,545578,250447,6718338,362792,0.6402013617735326,0.6853779717973681,0.6006120853837092,0.4708060030185957,0.08513702602654938,0.08666133175121943,-0.05306550894359474,0.1559672820546693
A1_world,forward,20,HEM_PA107.nii.gz,full_volume,483331,93329,11685272,337284,0.6918194342559625,0.8381559324385253,0.5889863090487013,0.5288409355496617,0.06718817236297381,0.0746854464895425,-0.08570695012018581,0.11717187718966876
A1_world,reverse,20,CYST_PA62.nii.gz,full_volume,546418,310894,11780176,666908,0.5277774289856556,0.6373618939195999,0.45034722737335225,0.3584902441904712,0.0980828325907504,0.08485264770228762,-0.03469809029508053,0.1345417472303404
A1_world,reverse,20,HEM_PA29.nii.gz,full_volume,709736,223908,14277599,702319,0.6051381699015944,0.7601783977618878,0.5026263141308235,0.43383377252419525,0.0835458757642048,0.08102697094366995,-0.04014479821559691,0.115766737131344
A1_world,reverse,20,HEP_PA28.nii.gz,full_volume,548930,255961,6712824,359440,0.6408013723536577,0.6819929655071307,0.6043022116538415,0.47145528204608483,0.08573703660667453,0.08731061077870855,-0.056450515233832155,0.15965740832480152
A1_world,reverse,20,HEM_PA107.nii.gz,full_volume,489723,96861,11681740,330892,0.6960252245773341,0.8348727547972669,0.5967755890399273,0.5337720005754919,0.07139396268434539,0.07961651151537269,-0.08899012776144422,0.12496115718089479
A2_joint_product,forward,4,CYST_PA62.nii.gz,full_volume,390054,195419,11895651,823272,0.4336826960655415,0.6662203039252024,0.32147501990396643,0.27688048582248737,0.0039880996706362914,0.003242889334303778,-0.005839680289478011,0.005669539760954578
