variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou
A_uniform_balanced,forward,16,HEM_PA34.nii.gz,full_volume,340731,45243,5692857,6969,0.9288348776159439,0.8827822599449704,0.9799568593615186,0.8671257663325215
A_uniform_balanced,forward,16,HEM_PA56.nii.gz,full_volume,374417,16959,3657662,8754,0.9668025310278137,0.9566682678549527,0.9771538033932631,0.935738385024867
A_uniform_balanced,forward,16,HEM_PA66.nii.gz,full_volume,229633,10969,3308991,6300,0.9637613186859307,0.9544101877789877,0.9732975039523932,0.9300572696859483
A_uniform_balanced,forward,16,ICC_PA18.nii.gz,full_volume,952773,208801,18587559,47195,0.8815678807073839,0.8202430495172929,0.9528034897116707,0.7882175998888125
A_uniform_balanced,forward,16,MET_PA19.nii.gz,full_volume,219731,28509,5011736,15032,0.9098535619861574,0.8851554946825653,0.9359694670795653,0.8346159105411893
A_uniform_balanced,forward,16,MET_PA25.nii.gz,full_volume,212088,53279,5058764,5597,0.8781166416866093,0.7992252239351539,0.9742885361876106,0.7827165232281779
A_uniform_balanced,forward,20,CYST_PA37.nii.gz,full_volume,241656,56480,5426541,10690,0.8779796614603202,0.8105562562052218,0.9576375294238862,0.7824988828660799
A_uniform_balanced,forward,20,CYST_PA38.nii.gz,full_volume,225797,8646,3614236,10242,0.9598539370262836,0.9631210997982452,0.9566088654840937,0.922806874144308
A_uniform_balanced,forward,20,CYST_PA53.nii.gz,full_volume,377272,32294,2961552,7062,0.9504270059201411,0.9211506814530503,0.9816253571112626,0.9055368338181783
A_uniform_balanced,forward,20,CYST_PA54.nii.gz,full_volume,221182,18303,3530575,6004,0.9479140550837742,0.9235735014719084,0.9735723151954786,0.9009853802003348
A_uniform_balanced,forward,20,CYST_PA74.nii.gz,full_volume,264853,35829,4999736,6702,0.9256759000204461,0.8808408883804152,0.9753199167756071,0.8616356088800978
A_uniform_balanced,forward,20,FNH_PA10.nii.gz,full_volume,975990,114477,18411879,29763,0.9311904284855598,0.895020206938862,0.9704072471073911,0.8712407273506334
A_uniform_balanced,forward,20,FNH_PA32.nii.gz,full_volume,266511,18052,4003440,15307,0.9411014846896347,0.9365623781025643,0.9456848036676153,0.8887551272217961
A_uniform_balanced,forward,20,HCC_10081574_20140213.nii.gz,full_volume,254727,78080,3992946,5847,0.8585613627669237,0.7653895500996073,0.977561076699901,0.7521747860648331
A_uniform_balanced,forward,20,HCC_10142924_20170911.nii.gz,full_volume,192527,44711,3186848,19543,0.856993420994062,0.8115352515195711,0.9078464657895978,0.7497712058135142
A_uniform_balanced,forward,20,HCC_10147777_20171222.nii.gz,full_volume,239407,86523,3145467,9975,0.8322684039269127,0.7345350228576688,0.9600011227755011,0.7127223470921838
A_uniform_balanced,forward,20,HCC_PA0.nii.gz,full_volume,1378246,424546,22305422,23306,0.8602359796576148,0.7645063878694824,0.9833712912542667,0.7547491974691392
A_uniform_balanced,forward,20,HEM_PA24.nii.gz,full_volume,287899,45105,4187590,11956,0.9098361562370133,0.8645511765624437,0.9601273949075386,0.8345866187384045
A_uniform_balanced,forward,20,HEM_PA34.nii.gz,full_volume,342100,50730,5687370,5600,0.9239328588983566,0.8708601685207341,0.9838941616335922,0.858620083829029
A_uniform_balanced,forward,20,HEM_PA56.nii.gz,full_volume,375390,18583,3656038,7781,0.9660757851826689,0.9528317930416551,0.9796931396165158,0.9343777535506803
A_uniform_balanced,forward,20,HEM_PA66.nii.gz,full_volume,230530,11953,3308007,5403,0.9637219490986924,0.9507058226762288,0.9770994307706001,0.9299839442324295
A_uniform_balanced,forward,20,ICC_PA18.nii.gz,full_volume,957225,238495,18557865,42743,0.8719134959065222,0.800542769210183,0.9572556321802298,0.7729136841391305
A_uniform_balanced,forward,20,MET_PA19.nii.gz,full_volume,222065,34567,5005678,12698,0.9038146501287152,0.8653051840768103,0.9459114085268974,0.8245089666951324
A_uniform_balanced,forward,20,MET_PA25.nii.gz,full_volume,212984,59216,5052827,4701,0.8695265215305633,0.7824540778839089,0.9784045754186095,0.7691702088472053
A_uniform_balanced,reverse,20,CYST_PA37.nii.gz,full_volume,241706,57165,5425856,10640,0.8769903685844231,0.8087301879406166,0.957835670072044,0.7809286261231426
A_uniform_balanced,reverse,20,CYST_PA38.nii.gz,full_volume,225826,8673,3614209,10213,0.9598629653715535,0.9630147676535934,0.9567317265367163,0.922823564026284
A_uniform_balanced,reverse,20,CYST_PA53.nii.gz,full_volume,377284,32588,2961258,7050,0.9500910343160339,0.9204922512394114,0.9816565799538942,0.9049270606972047
A_uniform_balanced,reverse,20,CYST_PA54.nii.gz,full_volume,221185,18379,3530499,6001,0.9477664702731655,0.9232814613214005,0.9735855202345215,0.9007187506362877
A_uniform_balanced,reverse,20,CYST_PA74.nii.gz,full_volume,264935,36070,4999495,6620,0.92544012854548,0.8801681035198751,0.9756218813868277,0.861227143437627
A_uniform_balanced,reverse,20,FNH_PA10.nii.gz,full_volume,976076,116447,18409909,29677,0.9303599717101086,0.8934146008825443,0.9704927551794527,0.8697879165924077
A_uniform_balanced,reverse,20,FNH_PA32.nii.gz,full_volume,266579,18204,4003288,15239,0.9409761013482151,0.9360776450841518,0.9459260941458671,0.8885315076894361
A_uniform_balanced,reverse,20,HCC_10081574_20140213.nii.gz,full_volume,254760,79019,3992007,5814,0.8572683237066188,0.7632595220190606,0.9776877201869718,0.7501921417697067
A_uniform_balanced,reverse,20,HCC_10142924_20170911.nii.gz,full_volume,192830,44982,3186577,19240,0.857247011438555,0.8108505878593174,0.9092752393077758,0.7501595008013943
A_uniform_balanced,reverse,20,HCC_10147777_20171222.nii.gz,full_volume,239512,86888,3145102,9870,0.8319537602773271,0.7337990196078431,0.9604221635883905,0.7122609807595087
A_uniform_balanced,reverse,20,HCC_PA0.nii.gz,full_volume,1378413,433021,22296947,23139,0.85802614763961,0.7609512684425709,0.9834904448782492,0.7513535847306158
A_uniform_balanced,reverse,20,HEM_PA24.nii.gz,full_volume,288021,45466,4187229,11834,0.9095275538334738,0.8636648505039177,0.9605342582248086,0.8340674329102488
A_uniform_balanced,reverse,20,HEM_PA34.nii.gz,full_volume,342121,51240,5686860,5579,0.9233274993556536,0.8697379760576163,0.9839545585274662,0.8575750739459568
A_uniform_balanced,reverse,20,HEM_PA56.nii.gz,full_volume,375414,18655,3655966,7757,0.9660182183109465,0.9526605746709332,0.9797557748368222,0.9342700571889325
A_uniform_balanced,reverse,20,HEM_PA66.nii.gz,full_volume,230555,11946,3308014,5378,0.9637901988571046,0.950738347470732,0.9772053930565033,0.9301110622521472
A_uniform_balanced,reverse,20,ICC_PA18.nii.gz,full_volume,957570,243697,18552663,42398,0.8700297787378449,0.7971333600273711,0.957600643220583,0.7699581478935243
A_uniform_balanced,reverse,20,MET_PA19.nii.gz,full_volume,222187,35172,5005073,12576,0.9029752784878546,0.8633348746303802,0.9464310815588487,0.823112971641321
A_uniform_balanced,reverse,20,MET_PA25.nii.gz,full_volume,213015,59588,5052455,4670,0.868938256698104,0.781411062974362,0.978546983025932,0.7682500640163304
A0_confidence_rank,forward,4,CYST_PA37.nii.gz,full_volume,234809,39550,5443471,17537,0.8916148508178202,0.8558458078648777,0.9305041490651724,0.8044269191766931
A0_confidence_rank,forward,4,CYST_PA38.nii.gz,full_volume,222923,6253,3616629,13116,0.9583654869254001,0.972715293049883,0.944432911510386,0.9200592673303287
A0_confidence_rank,forward,4,CYST_PA53.nii.gz,full_volume,375011,24244,2969602,9323,0.9571624920717365,0.9392769032322701,0.9757424531787455,0.9178443283779352
A0_confidence_rank,forward,4,CYST_PA54.nii.gz,full_volume,218724,13843,3535035,8462,0.9514848190223881,0.9404773678122863,0.9627529865396636,0.9074592683867916
A0_confidence_rank,forward,4,CYST_PA74.nii.gz,full_volume,260250,24813,5010752,11305,0.9351116923994552,0.9129560833920922,0.958369391099409,0.8781312422393781
A0_confidence_rank,forward,4,FNH_PA10.nii.gz,full_volume,967638,76249,18450107,38115,0.9442028844089694,0.9269566533542424,0.9621030213183555,0.8943033377017787
A0_confidence_rank,forward,4,FNH_PA32.nii.gz,full_volume,263217,13758,4007734,18601,0.9420912574065888,0.9503276468995396,0.9339964090299413,0.8905222345521964
A0_confidence_rank,forward,4,HCC_10081574_20140213.nii.gz,full_volume,251041,55831,4015195,9533,0.8848101845814403,0.8180642091816783,0.9634153829622295,0.793416665349789
A0_confidence_rank,forward,4,HCC_10142924_20170911.nii.gz,full_volume,182830,33473,3198086,29240,0.8536018843391157,0.8452494879867594,0.8621209977837506,0.74459463311925
A0_confidence_rank,forward,4,HCC_10147777_20171222.nii.gz,full_volume,233601,69897,3162093,15781,0.845033280277818,0.7696953521934247,0.9367195707789656,0.7316516275733763
A0_confidence_rank,forward,4,HCC_PA0.nii.gz,full_volume,1369906,304193,22425775,31646,0.8908071819592015,0.8182944975177693,0.9774207450026827,0.8031130092716086
A0_confidence_rank,forward,4,HEM_PA24.nii.gz,full_volume,280844,34051,4198644,19011,0.913685237901586,0.8918655424824148,0.9365993563555719,0.8410870125125035
A0_confidence_rank,forward,4,HEM_PA34.nii.gz,full_volume,336768,36240,5701860,10932,0.9345476947668127,0.9028439068330975,0.9685591026747196,0.8771370526644788
A0_confidence_rank,forward,4,HEM_PA56.nii.gz,full_volume,372393,14500,3660121,10778,0.9671741569531883,0.9625219375899796,0.9718715664807619,0.9364348921595993
A0_confidence_rank,forward,4,HEM_PA66.nii.gz,full_volume,227917,9535,3310425,8016,0.9629244695121307,0.959844515944275,0.9660242526479975,0.9284998451936709
A0_confidence_rank,forward,4,ICC_PA18.nii.gz,full_volume,943398,170360,18626000,56570,0.8926398218122878,0.8470403804057973,0.9434281897020704,0.8060970941479654
A0_confidence_rank,forward,4,MET_PA19.nii.gz,full_volume,214410,20583,5019662,20353,0.9128568874053764,0.9124101568982906,0.9133040555794567,0.8396841932123472
A0_confidence_rank,forward,4,MET_PA25.nii.gz,full_volume,210156,44382,5067661,7529,0.8900710045889336,0.8256370365132122,0.9654133265957691,0.8019170670095815
A0_confidence_rank,forward,8,CYST_PA37.nii.gz,full_volume,235831,41417,5441604,16515,0.8906105431708063,0.8506138908125577,0.9345541439135155,0.8027934082917182
A0_confidence_rank,forward,8,CYST_PA38.nii.gz,full_volume,223327,6520,3616362,12712,0.9587195150745033,0.9716333038934596,0.9461444930710603,0.9207120741757675
A0_confidence_rank,forward,8,CYST_PA53.nii.gz,full_volume,375305,25199,2968647,9029,0.9563884521391676,0.9370817769610291,0.9765074128232215,0.9164218756486047
A0_confidence_rank,forward,8,CYST_PA54.nii.gz,full_volume,219094,14380,3534498,8092,0.9512178179134285,0.9384085594113263,0.9643816080216211,0.9069736635122493
A0_confidence_rank,forward,8,CYST_PA74.nii.gz,full_volume,260955,25976,5009589,10600,0.9345086537531827,0.9094695240319101,0.960965550256854,0.8770682718775522
A0_confidence_rank,forward,8,FNH_PA10.nii.gz,full_volume,968733,80352,18446004,37020,0.9428801686556313,0.9234075408570326,0.9631917578172772,0.8919331003908462
A0_confidence_rank,forward,8,FNH_PA32.nii.gz,full_volume,263663,14158,4007334,18155,0.9422609932474327,0.949039129511448,0.935578990696123,0.8908256074816877
A0_confidence_rank,forward,8,HCC_10081574_20140213.nii.gz,full_volume,251546,58353,4012673,9028,0.8818857334177077,0.8117031678062853,0.9653534120825562,0.7887259466899949
A0_confidence_rank,forward,8,HCC_10142924_20170911.nii.gz,full_volume,184229,34648,3196911,27841,0.8549960900064277,0.8417010467065977,0.8687178761729618,0.7467189260613332
A0_confidence_rank,forward,8,HCC_10147777_20171222.nii.gz,full_volume,234452,71722,3160268,14930,0.8440265247787802,0.7657475814406187,0.9401320063196221,0.7301435049080671
A0_confidence_rank,forward,8,HCC_PA0.nii.gz,full_volume,1371001,318205,22411763,30551,0.8871616606670597,0.8116245147128296,0.978202021758736,0.797206233206203
A0_confidence_rank,forward,8,HEM_PA24.nii.gz,full_volume,281741,35256,4197439,18114,0.9134800568045496,0.888781281841784,0.9395908022210735,0.8407393371151648
A0_confidence_rank,forward,8,HEM_PA34.nii.gz,full_volume,337740,38009,5700091,9960,0.9336940129850204,0.8988447075042116,0.9713546160483175,0.8756342216541486
A0_confidence_rank,forward,8,HEM_PA56.nii.gz,full_volume,372853,14951,3659670,10318,0.9672246181782808,0.9614470196284721,0.9730720748699667,0.9365295060308146
A0_confidence_rank,forward,8,HEM_PA66.nii.gz,full_volume,228292,9802,3310158,7641,0.9632025180000295,0.9588313859232068,0.9676136869365456,0.92901703054103
A0_confidence_rank,forward,8,ICC_PA18.nii.gz,full_volume,945309,176535,18619825,54659,0.8910393569270039,0.8426385486752169,0.9453392508560274,0.8034905138363438
A0_confidence_rank,forward,8,MET_PA19.nii.gz,full_volume,215603,22142,5018103,19160,0.912589839748745,0.9068666007697322,0.9183857762935386,0.8392324010821121
A0_confidence_rank,forward,8,MET_PA25.nii.gz,full_volume,210558,45962,5066081,7127,0.888046309085733,0.8208248869483861,0.9672600316971771,0.7986360550281247
A0_confidence_rank,forward,12,CYST_PA37.nii.gz,full_volume,237256,44571,5438450,15090,0.8883114646378608,0.8418497872808496,0.9402011523860097,0.7990650585853959
A0_confidence_rank,forward,12,CYST_PA38.nii.gz,full_volume,223931,6970,3615912,12108,0.9591425022486829,0.9698139029280948,0.9487033922360288,0.9214926196149114
A0_confidence_rank,forward,12,CYST_PA53.nii.gz,full_volume,375791,26640,2967206,8543,0.9552814372779673,0.9338023164219457,0.9777719379498041,0.914391178030727
A0_confidence_rank,forward,12,CYST_PA54.nii.gz,full_volume,219583,15166,3533712,7603,0.950709515408012,0.9353948259630499,0.9665340293856135,0.9060498778636034
