case,order,step,confidence_uniform_left,confidence_uniform_right,confidence_uniform_dice_delta,confidence_uniform_foreground_iou_delta,confidence_uniform_precision_delta,confidence_uniform_recall_delta,confidence_uniform_dice_win,world_uniform_left,world_uniform_right,world_uniform_dice_delta,world_uniform_foreground_iou_delta,world_uniform_precision_delta,world_uniform_recall_delta,world_uniform_dice_win,joint_uniform_left,joint_uniform_right,joint_uniform_dice_delta,joint_uniform_foreground_iou_delta,joint_uniform_precision_delta,joint_uniform_recall_delta,joint_uniform_dice_win,joint_confidence_left,joint_confidence_right,joint_confidence_dice_delta,joint_confidence_foreground_iou_delta,joint_confidence_precision_delta,joint_confidence_recall_delta,joint_confidence_dice_win
FNH_PA10.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0007003681750697988,0.0012269882604076798,0.0021005734397895326,-0.0009425773524910364,True,A1_world_pairwise,A_uniform_balanced,0.0006527640896336617,0.0011435387963489863,0.0009263255757818722,0.00032910664944574286,True,A2_joint_pairwise,A_uniform_balanced,0.00011003535226883354,0.00019266653128080513,0.00036585683206258324,-0.00019090174227665013,True,A2_joint_pairwise,A0_confidence_rank,-0.0005903328228009652,-0.0010343217291268747,-0.0017347166077269494,0.0007516756102143862,False
FNH_PA10.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.0004448171968975956,0.0007778877151922714,0.001481897686052891,-0.0007775268878144059,True,A1_world_pairwise,A_uniform_balanced,0.0005603252662722547,0.0009799918652221296,0.0005623923465045699,0.000555802468399258,True,A2_joint_pairwise,A_uniform_balanced,-0.00024860021181727365,-0.00043446547587788764,-0.0005265543281171015,8.053667252294616e-05,False,A2_joint_pairwise,A0_confidence_rank,-0.0006934174087148692,-0.001212353191070159,-0.0020084520141699924,0.0008580635603373521,False
FNH_PA32.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,-0.0003126153505353946,-0.0005574467913714853,0.00018874235842536446,-0.0008232263375653748,False,A1_world_pairwise,A_uniform_balanced,0.0002585887515064167,0.000461356895764653,0.00016071427961283913,0.00035838732799176043,True,A2_joint_pairwise,A_uniform_balanced,-0.00029773654624287715,-0.0005309227891353574,-0.001134632518930423,0.000557097133610962,False,A2_joint_pairwise,A0_confidence_rank,1.4878804292517422e-05,2.652400223612794e-05,-0.0013233748773557874,0.0013803234711763368,True
FNH_PA32.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,-0.00032981942864551694,-0.0005879758311263528,-0.00016624858838809597,-0.0004967745140480595,False,A1_world_pairwise,A_uniform_balanced,0.0003236816095587569,0.0005773899998048337,0.00014380023547810872,0.0005074196822062449,True,A2_joint_pairwise,A_uniform_balanced,-0.00026500120543093697,-0.00047245196857959026,-0.0013870274403898764,0.0008835489571283883,False,A2_joint_pairwise,A0_confidence_rank,6.481822321457997e-05,0.0001155238625467625,-0.0012207788520017804,0.0013803234711764478,True
HCC_10081574_20140213.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.00226927486284223,0.003490408299824499,0.004385632205454848,-0.0012434087821502349,True,A1_world_pairwise,A_uniform_balanced,0.000927491337896269,0.001424911051859823,0.0013503457744785674,0.00020339711559858031,True,A2_joint_pairwise,A_uniform_balanced,0.0006593586149066244,0.0010127388896942202,0.0011973465455364929,-0.0002417739298625765,True,A2_joint_pairwise,A0_confidence_rank,-0.0016099162479356055,-0.0024776694101302787,-0.003188285659918355,0.0010016348522876584,False
HCC_10081574_20140213.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.001704282847355576,0.0026141549834189926,0.0033008235095783878,-0.000967095719450084,True,A1_world_pairwise,A_uniform_balanced,0.0005880030355343013,0.000901041012811743,0.0005977770924301407,0.0005487884439737689,True,A2_joint_pairwise,A_uniform_balanced,-1.877408584560758e-05,-2.8753659650826435e-05,-0.0001630183131385854,0.0002187478413042676,False,A2_joint_pairwise,A0_confidence_rank,-0.0017230569332011836,-0.002642908643069819,-0.003463841822716973,0.0011858435607543516,False
HCC_10142924_20170911.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0008879006723403471,0.0013602991173827794,0.0035443190666916147,-0.002419012590182512,True,A1_world_pairwise,A_uniform_balanced,-1.899448447861829e-05,-2.9077216451400822e-05,-0.00037285648550189343,0.00042438817371615034,False,A2_joint_pairwise,A_uniform_balanced,0.0006193776954434016,0.0009486881993835405,0.0006059134454833304,0.0006318668364219127,True,A2_joint_pairwise,A0_confidence_rank,-0.0002685229768969455,-0.0004116109179992389,-0.0029384056212082843,0.003050879426604425,False
HCC_10142924_20170911.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.0008289742500792174,0.0012705198783045102,0.0024127016121442413,-0.0011599943414910552,True,A1_world_pairwise,A_uniform_balanced,-0.00026330999689605505,-0.0004031740346176482,-0.0013864713417635066,0.0011552789173385758,False,A2_joint_pairwise,A_uniform_balanced,0.0005760378189547666,0.00088266363719669,-0.0007870201032968982,0.002291696138067567,True,A2_joint_pairwise,A0_confidence_rank,-0.00025293643112445086,-0.00038785624110782013,-0.0031997217154411395,0.0034516904795586223,False
HCC_10147777_20171222.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0016123655320854358,0.002368140757958881,0.003727974991474592,-0.002049065289395413,True,A1_world_pairwise,A_uniform_balanced,-0.0002382127298984349,-0.00034931747617439335,-0.0004249508049323225,9.222798758523609e-05,False,A2_joint_pairwise,A_uniform_balanced,0.0002656335521481479,0.000389695747462504,0.0006561758864133127,-0.0004130209878820956,True,A2_joint_pairwise,A0_confidence_rank,-0.0013467319799372879,-0.001978445010496377,-0.003071799105061279,0.0016360443015133175,False
HCC_10147777_20171222.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.0012701044578140586,0.0018638967998003686,0.0028824035459786845,-0.00153579648892066,True,A1_world_pairwise,A_uniform_balanced,-0.0005680827897077689,-0.0008323584401793704,-0.0012030236063390598,0.0005493580130081499,False,A2_joint_pairwise,A_uniform_balanced,-0.00032365752809082604,-0.00047432423394599965,-0.0006529693841438311,0.0002566344002373766,False,A2_joint_pairwise,A0_confidence_rank,-0.0015937619859048846,-0.0023382210337463682,-0.0035353729301225156,0.0017924308891580365,False
