case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,disagreement_probability_mse,disagreement_probability_mae,source_gt_dice,real_blur_gt_dice,real_blur_gt_dice_drop_vs_source
HEM_PA81.nii.gz,3,foreground,imagined_blur,foreground,307059,0.8678820682670105,0.20262045048312904,0.8235315550378919,0.9685108689170125,0.38199075367534735,0.0006851103200681976,0.002273171640387806,0.912065684637078,0.8975096158239319,0.014556068813146195
HEM_PA89.nii.gz,0,context,confidence,overall,7077888,0.9944578100133825,0.5000000573675057,0.7490341463893959,0.9971889110291844,0.09940735626484833,,,0.0,0.0,0.0
HEM_PA89.nii.gz,0,context,confidence,foreground,0,,,,,,,,0.0,0.0,0.0
HEM_PA89.nii.gz,0,context,real_blur,overall,7077888,0.9944578100133825,0.49999994194095726,0.9311895910251936,0.9991304899006176,0.11441570839925604,0.001815870894345294,0.00235362186536063,0.0,0.0,0.0
HEM_PA89.nii.gz,0,context,real_blur,foreground,0,,,,,,0.001815870894345294,0.00235362186536063,0.0,0.0,0.0
HEM_PA89.nii.gz,0,context,imagined_blur,overall,7077888,0.9944578100133825,0.4999999416946189,0.7444858118247899,0.9971545924644241,0.11511322022488875,0.00026836318391529335,0.0005349360453018798,0.0,0.0,0.0
HEM_PA89.nii.gz,0,context,imagined_blur,foreground,0,,,,,,0.00026836318391529335,0.0005349360453018798,0.0,0.0,0.0
HEM_PA89.nii.gz,1,context,confidence,overall,7077888,0.9907964070638021,0.500000068429327,0.9891408853278199,0.9998887479228511,0.161812080984934,,,0.819973137743681,0.734810838653708,0.08516229908997297
HEM_PA89.nii.gz,1,context,confidence,foreground,186421,0.795790173853804,0.08989811383355227,0.7078887991292648,0.9066445210275965,0.2905455539283916,,,0.819973137743681,0.734810838653708,0.08516229908997297
HEM_PA89.nii.gz,1,context,real_blur,overall,7077888,0.9907964070638021,0.49999992797017545,0.978365908761922,0.9996635810322593,0.15824835423968495,0.0055704194117132,0.008959970583865233,0.819973137743681,0.734810838653708,0.08516229908997297
HEM_PA89.nii.gz,1,context,real_blur,foreground,186421,0.795790173853804,0.032307389753896326,0.5686550435347449,0.8203328777015765,0.09587729465149104,0.0055704194117132,0.008959970583865233,0.819973137743681,0.734810838653708,0.08516229908997297
HEM_PA89.nii.gz,1,context,imagined_blur,overall,7077888,0.9907964070638021,0.49999992249028463,0.9703279653019385,0.9993896966688608,0.15598726884732683,0.0010868612472038793,0.0029850296438224985,0.819973137743681,0.734810838653708,0.08516229908997297
HEM_PA89.nii.gz,1,context,imagined_blur,foreground,186421,0.795790173853804,0.14167789042764317,0.7013570830484035,0.9052927170084175,0.2818586771598345,0.0010868612472038793,0.0029850296438224985,0.819973137743681,0.734810838653708,0.08516229908997297
HEM_PA89.nii.gz,2,foreground,confidence,overall,7077888,0.9843618604871962,0.500000069871026,0.981944624716451,0.9997104148375295,0.20714072662583038,,,0.7888734385103546,0.7799773274762647,0.008896111034089937
HEM_PA89.nii.gz,2,foreground,confidence,foreground,289175,0.715092936802974,0.046195989442164465,0.5623139584415418,0.7498431108262722,0.09743639296424317,,,0.7888734385103546,0.7799773274762647,0.008896111034089937
HEM_PA89.nii.gz,2,foreground,real_blur,overall,7077888,0.9843618604871962,0.49999993028601003,0.9728513457259811,0.999439671355029,0.2032289477747343,0.0073509172567539395,0.012582731427587365,0.7888734385103546,0.7799773274762647,0.008896111034089937
HEM_PA89.nii.gz,2,foreground,real_blur,foreground,289175,0.715092936802974,0.05043497351712959,0.6745556183493147,0.7966855988691783,0.2729424273494225,0.0073509172567539395,0.012582731427587365,0.7888734385103546,0.7799773274762647,0.008896111034089937
HEM_PA89.nii.gz,2,foreground,imagined_blur,overall,7077888,0.9843618604871962,0.4999999225039186,0.974401226567563,0.999426269545212,0.20424005421302097,0.001153266261687805,0.003830364698800353,0.7888734385103546,0.7799773274762647,0.008896111034089937
HEM_PA89.nii.gz,2,foreground,imagined_blur,foreground,289175,0.715092936802974,0.06737877672644281,0.5532761695651343,0.7585032314285542,0.08331933098898407,0.001153266261687805,0.003830364698800353,0.7888734385103546,0.7799773274762647,0.008896111034089937
HEM_PA89.nii.gz,3,foreground,confidence,overall,7077888,0.9856136463306568,0.5000000707143548,0.9813757620529985,0.9997257709481109,0.19857580913956024,,,0.7765177370184954,0.607685156492098,0.16883258052639738
HEM_PA89.nii.gz,3,foreground,confidence,foreground,253318,0.6983396363464104,0.027283526032076056,0.46102636475600856,0.6426532426904255,-0.061966981005423825,,,0.7765177370184954,0.607685156492098,0.16883258052639738
HEM_PA89.nii.gz,3,foreground,real_blur,overall,7077888,0.9856136463306568,0.49999992671884547,0.971446800978977,0.9995391620898735,0.19453292605323985,0.008857827624418715,0.013291594409068878,0.7765177370184954,0.607685156492098,0.16883258052639738
