case,patch_index,patch_kind,method,scope,region,voxel_count,reliability_mean
HEP_PA28.nii.gz,1,context,imagined_blur,overall,TP,7640,0.2197953675351842
HEP_PA28.nii.gz,1,context,imagined_blur,overall,FP,1437,0.10021463283334413
HEP_PA28.nii.gz,1,context,imagined_blur,overall,FN,19076,0.39273216547419076
HEP_PA28.nii.gz,1,context,imagined_blur,overall,TN,7049735,0.5006753174707904
HEP_PA28.nii.gz,1,context,imagined_blur,foreground,TP,7640,0.2197953675351842
HEP_PA28.nii.gz,1,context,imagined_blur,foreground,FP,0,
HEP_PA28.nii.gz,1,context,imagined_blur,foreground,FN,19076,0.39273216547419076
HEP_PA28.nii.gz,1,context,imagined_blur,foreground,TN,0,
HEP_PA28.nii.gz,2,foreground,confidence,overall,TP,206526,0.025086389207862787
HEP_PA28.nii.gz,2,foreground,confidence,overall,FP,13526,0.01306023080888587
HEP_PA28.nii.gz,2,foreground,confidence,overall,FN,199738,0.059801795037310965
HEP_PA28.nii.gz,2,foreground,confidence,overall,TN,6658098,0.5289261538796559
HEP_PA28.nii.gz,2,foreground,confidence,foreground,TP,206526,0.025086389207862787
HEP_PA28.nii.gz,2,foreground,confidence,foreground,FP,0,
HEP_PA28.nii.gz,2,foreground,confidence,foreground,FN,199738,0.059801795037310965
HEP_PA28.nii.gz,2,foreground,confidence,foreground,TN,0,
HEP_PA28.nii.gz,2,foreground,real_blur,overall,TP,206526,0.032658977661009704
HEP_PA28.nii.gz,2,foreground,real_blur,overall,FP,13526,0.02141683496579993
HEP_PA28.nii.gz,2,foreground,real_blur,overall,FN,199738,0.06043392013225789
HEP_PA28.nii.gz,2,foreground,real_blur,overall,TN,6658098,0.5286551722911171
HEP_PA28.nii.gz,2,foreground,real_blur,foreground,TP,206526,0.032658977661009704
HEP_PA28.nii.gz,2,foreground,real_blur,foreground,FP,0,
HEP_PA28.nii.gz,2,foreground,real_blur,foreground,FN,199738,0.06043392013225789
HEP_PA28.nii.gz,2,foreground,real_blur,foreground,TN,0,
HEP_PA28.nii.gz,2,foreground,imagined_blur,overall,TP,206526,0.03840762675434777
HEP_PA28.nii.gz,2,foreground,imagined_blur,overall,FP,13526,0.02195244074819639
HEP_PA28.nii.gz,2,foreground,imagined_blur,overall,FN,199738,0.05746910447022443
HEP_PA28.nii.gz,2,foreground,imagined_blur,overall,TN,6658098,0.5285647111486171
HEP_PA28.nii.gz,2,foreground,imagined_blur,foreground,TP,206526,0.03840762675434777
HEP_PA28.nii.gz,2,foreground,imagined_blur,foreground,FP,0,
HEP_PA28.nii.gz,2,foreground,imagined_blur,foreground,FN,199738,0.05746910447022443
HEP_PA28.nii.gz,2,foreground,imagined_blur,foreground,TN,0,
HEP_PA28.nii.gz,3,foreground,confidence,overall,TP,122103,0.019999625462889747
HEP_PA28.nii.gz,3,foreground,confidence,overall,FP,53304,0.018734540532668948
HEP_PA28.nii.gz,3,foreground,confidence,overall,FN,55693,0.024996178102456912
HEP_PA28.nii.gz,3,foreground,confidence,overall,TN,6846788,0.5161707565823284
HEP_PA28.nii.gz,3,foreground,confidence,foreground,TP,122103,0.019999625462889747
HEP_PA28.nii.gz,3,foreground,confidence,foreground,FP,0,
HEP_PA28.nii.gz,3,foreground,confidence,foreground,FN,55693,0.024996178102456912
HEP_PA28.nii.gz,3,foreground,confidence,foreground,TN,0,
HEP_PA28.nii.gz,3,foreground,real_blur,overall,TP,122103,0.041049394434894866
HEP_PA28.nii.gz,3,foreground,real_blur,overall,FP,53304,0.04122643430710161
HEP_PA28.nii.gz,3,foreground,real_blur,overall,FN,55693,0.0125430575897122
HEP_PA28.nii.gz,3,foreground,real_blur,overall,TN,6846788,0.5157214088251908
HEP_PA28.nii.gz,3,foreground,real_blur,foreground,TP,122103,0.041049394434894866
HEP_PA28.nii.gz,3,foreground,real_blur,foreground,FP,0,
HEP_PA28.nii.gz,3,foreground,real_blur,foreground,FN,55693,0.0125430575897122
HEP_PA28.nii.gz,3,foreground,real_blur,foreground,TN,0,
HEP_PA28.nii.gz,3,foreground,imagined_blur,overall,TP,122103,0.04724519148049284
HEP_PA28.nii.gz,3,foreground,imagined_blur,overall,FP,53304,0.05229861590953699
HEP_PA28.nii.gz,3,foreground,imagined_blur,overall,FN,55693,0.017155537450229876
HEP_PA28.nii.gz,3,foreground,imagined_blur,overall,TN,6846788,0.5154871870358966
HEP_PA28.nii.gz,3,foreground,imagined_blur,foreground,TP,122103,0.04724519148049284
HEP_PA28.nii.gz,3,foreground,imagined_blur,foreground,FP,0,
HEP_PA28.nii.gz,3,foreground,imagined_blur,foreground,FN,55693,0.017155537450229876
HEP_PA28.nii.gz,3,foreground,imagined_blur,foreground,TN,0,
HEM_PA107.nii.gz,0,context,confidence,overall,TP,0,
HEM_PA107.nii.gz,0,context,confidence,overall,FP,0,
HEM_PA107.nii.gz,0,context,confidence,overall,FN,0,
HEM_PA107.nii.gz,0,context,confidence,overall,TN,7077888,0.5000000596046448
HEM_PA107.nii.gz,0,context,confidence,foreground,TP,0,
HEM_PA107.nii.gz,0,context,confidence,foreground,FP,0,
HEM_PA107.nii.gz,0,context,confidence,foreground,FN,0,
HEM_PA107.nii.gz,0,context,confidence,foreground,TN,0,
HEM_PA107.nii.gz,0,context,real_blur,overall,TP,0,
HEM_PA107.nii.gz,0,context,real_blur,overall,FP,0,
HEM_PA107.nii.gz,0,context,real_blur,overall,FN,0,
HEM_PA107.nii.gz,0,context,real_blur,overall,TN,7077888,0.4999999403953552
HEM_PA107.nii.gz,0,context,real_blur,foreground,TP,0,
HEM_PA107.nii.gz,0,context,real_blur,foreground,FP,0,
HEM_PA107.nii.gz,0,context,real_blur,foreground,FN,0,
HEM_PA107.nii.gz,0,context,real_blur,foreground,TN,0,
HEM_PA107.nii.gz,0,context,imagined_blur,overall,TP,0,
HEM_PA107.nii.gz,0,context,imagined_blur,overall,FP,0,
HEM_PA107.nii.gz,0,context,imagined_blur,overall,FN,0,
HEM_PA107.nii.gz,0,context,imagined_blur,overall,TN,7077888,0.4999999403953552
HEM_PA107.nii.gz,0,context,imagined_blur,foreground,TP,0,
HEM_PA107.nii.gz,0,context,imagined_blur,foreground,FP,0,
HEM_PA107.nii.gz,0,context,imagined_blur,foreground,FN,0,
HEM_PA107.nii.gz,0,context,imagined_blur,foreground,TN,0,
HEM_PA107.nii.gz,1,context,confidence,overall,TP,202782,0.027539024853555836
HEM_PA107.nii.gz,1,context,confidence,overall,FP,10345,0.012345715392075275
HEM_PA107.nii.gz,1,context,confidence,overall,FN,38535,0.01622407439495268
HEM_PA107.nii.gz,1,context,confidence,overall,TN,6826226,0.517505158695252
HEM_PA107.nii.gz,1,context,confidence,foreground,TP,202782,0.027539024853555836
HEM_PA107.nii.gz,1,context,confidence,foreground,FP,0,
