split,case,patch_index,patch_kind,gamma_strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
val,HEM_PA29.nii.gz,0,context,0.3,0.0164102241396904,0.01316999364644289,0.002252710983157158
val,HEM_PA29.nii.gz,1,context,-0.3,0.058953579515218735,0.011754319071769714,0.0019519170746207237
val,HEM_PA29.nii.gz,1,context,-0.15,0.012863611802458763,0.0028057722374796867,0.0005220521707087755
val,HEM_PA29.nii.gz,1,context,0.15,0.010053295642137527,0.002047811634838581,0.0004002167843282223
val,HEM_PA29.nii.gz,1,context,0.3,0.036188382655382156,0.006881481967866421,0.0013968045823276043
val,HEM_PA29.nii.gz,2,foreground,-0.3,0.05321912094950676,0.18473127484321594,0.12241135537624359
val,HEM_PA29.nii.gz,2,foreground,-0.15,0.012187655083835125,0.022344021126627922,0.01563994213938713
val,HEM_PA29.nii.gz,2,foreground,0.15,0.009858322329819202,0.01419026032090187,0.008608084172010422
val,HEM_PA29.nii.gz,2,foreground,0.3,0.03503748029470444,0.046548981219530106,0.02681185118854046
val,HEM_PA29.nii.gz,3,foreground,-0.3,0.037755828350782394,0.45717960596084595,0.27157062292099
val,HEM_PA29.nii.gz,3,foreground,-0.15,0.007988433353602886,0.028114603832364082,0.012897295877337456
val,HEM_PA29.nii.gz,3,foreground,0.15,0.00575691182166338,0.014597229659557343,0.0037426655180752277
val,HEM_PA29.nii.gz,3,foreground,0.3,0.019684331491589546,0.04127476364374161,0.009893692098557949
val,HEP_PA28.nii.gz,0,context,-0.3,0.030054999515414238,0.027352377772331238,0.005205471999943256
val,HEP_PA28.nii.gz,0,context,-0.15,0.006689873524010181,0.006097094155848026,0.0010687588946893811
val,HEP_PA28.nii.gz,0,context,0.15,0.005294397007673979,0.0040609948337078094,0.0007562547107227147
val,HEP_PA28.nii.gz,0,context,0.3,0.01883060485124588,0.013392499648034573,0.0027028610929846764
val,HEP_PA28.nii.gz,1,context,-0.3,0.06504566967487335,0.03172190487384796,0.012033446691930294
val,HEP_PA28.nii.gz,1,context,-0.15,0.014734674245119095,0.008770233951508999,0.0033457910176366568
val,HEP_PA28.nii.gz,1,context,0.15,0.01174491923302412,0.005376986227929592,0.0012633081059902906
val,HEP_PA28.nii.gz,1,context,0.3,0.04164498671889305,0.01662500388920307,0.0037339585833251476
val,HEP_PA28.nii.gz,2,foreground,-0.3,0.039992425590753555,0.4397302567958832,0.18348512053489685
val,HEP_PA28.nii.gz,2,foreground,-0.15,0.009169325232505798,0.3249605596065521,0.17162738740444183
val,HEP_PA28.nii.gz,2,foreground,0.15,0.007652812171727419,0.015673449262976646,0.010919109918177128
val,HEP_PA28.nii.gz,2,foreground,0.3,0.027805956080555916,0.049399346113204956,0.03362691029906273
val,HEP_PA28.nii.gz,3,foreground,-0.3,0.030350392684340477,0.2221624255180359,0.12972131371498108
val,HEP_PA28.nii.gz,3,foreground,-0.15,0.006735440343618393,0.010751157999038696,0.0058667161501944065
val,HEP_PA28.nii.gz,3,foreground,0.15,0.005368259269744158,0.007140083238482475,0.0032879821956157684
val,HEP_PA28.nii.gz,3,foreground,0.3,0.019210059195756912,0.02231004647910595,0.00981209147721529
val,HEM_PA107.nii.gz,0,context,-0.3,0.016987431794404984,0.016996953636407852,0.002158176153898239
val,HEM_PA107.nii.gz,0,context,-0.15,0.003945342265069485,0.004254522733390331,0.0005499296821653843
val,HEM_PA107.nii.gz,0,context,0.15,0.0035378660541027784,0.0038139347452670336,0.0006293856422416866
val,HEM_PA107.nii.gz,0,context,0.3,0.013472367078065872,0.011480811052024364,0.002034274395555258
