method,case,region,voxel_count,reliability_mean,aggregation
real_pairwise_joint_product,HEM_PA89.nii.gz,FP,120004,0.011447844012848232,case_voxel_weighted
real_pairwise_joint_product,HEM_PA89.nii.gz,TN,27462634,0.3172570702922452,case_voxel_weighted
real_pairwise_joint_product,HEM_PA89.nii.gz,TP,532041,0.002657596735583275,case_voxel_weighted
real_pairwise_world_stability,HEM_PA89.nii.gz,FN,196873,0.02934499091269542,case_voxel_weighted
real_pairwise_world_stability,HEM_PA89.nii.gz,FP,120004,0.03507503113622749,case_voxel_weighted
real_pairwise_world_stability,HEM_PA89.nii.gz,TN,27462634,0.5144079037949256,case_voxel_weighted
real_pairwise_world_stability,HEM_PA89.nii.gz,TP,532041,0.035319856747481226,case_voxel_weighted
confidence_rank,HEM_PA101.nii.gz,FN,198429,0.09621975407172427,case_voxel_weighted
confidence_rank,HEM_PA101.nii.gz,FP,23368,0.009076481277369321,case_voxel_weighted
confidence_rank,HEM_PA101.nii.gz,TN,27603336,0.5114713496834559,case_voxel_weighted
confidence_rank,HEM_PA101.nii.gz,TP,486419,0.03732879207974163,case_voxel_weighted
real_blur_joint_product,HEM_PA101.nii.gz,FN,198429,0.030284995924830086,case_voxel_weighted
real_blur_joint_product,HEM_PA101.nii.gz,FP,23368,0.00025544505687286875,case_voxel_weighted
real_blur_joint_product,HEM_PA101.nii.gz,TN,27603336,0.29141531198328235,case_voxel_weighted
real_blur_joint_product,HEM_PA101.nii.gz,TP,486419,0.0024086075563245503,case_voxel_weighted
real_blur_world_stability,HEM_PA101.nii.gz,FN,198429,0.09134586953824368,case_voxel_weighted
real_blur_world_stability,HEM_PA101.nii.gz,FP,23368,0.023874152384160196,case_voxel_weighted
real_blur_world_stability,HEM_PA101.nii.gz,TN,27603336,0.5112219137716959,case_voxel_weighted
real_blur_world_stability,HEM_PA101.nii.gz,TP,486419,0.05275355400840642,case_voxel_weighted
real_gamma_joint_product,HEM_PA101.nii.gz,FN,198429,0.030598526795641873,case_voxel_weighted
real_gamma_joint_product,HEM_PA101.nii.gz,FP,23368,0.00029712217280883596,case_voxel_weighted
real_gamma_joint_product,HEM_PA101.nii.gz,TN,27603336,0.29311965196566026,case_voxel_weighted
real_gamma_joint_product,HEM_PA101.nii.gz,TP,486419,0.0075145206189269065,case_voxel_weighted
real_gamma_world_stability,HEM_PA101.nii.gz,FN,198429,0.08561973958213719,case_voxel_weighted
real_gamma_world_stability,HEM_PA101.nii.gz,FP,23368,0.017078994518577625,case_voxel_weighted
real_gamma_world_stability,HEM_PA101.nii.gz,TN,27603336,0.5103677761977382,case_voxel_weighted
real_gamma_world_stability,HEM_PA101.nii.gz,TP,486419,0.10388655488645883,case_voxel_weighted
real_pairwise_joint_product,HEM_PA101.nii.gz,FN,198429,0.029785218648622745,case_voxel_weighted
real_pairwise_joint_product,HEM_PA101.nii.gz,FP,23368,0.00022029624861920894,case_voxel_weighted
real_pairwise_joint_product,HEM_PA101.nii.gz,TN,27603336,0.2930517917308542,case_voxel_weighted
real_pairwise_joint_product,HEM_PA101.nii.gz,TP,486419,0.002048892282641916,case_voxel_weighted
real_pairwise_world_stability,HEM_PA101.nii.gz,FN,198429,0.08600184707290177,case_voxel_weighted
real_pairwise_world_stability,HEM_PA101.nii.gz,FP,23368,0.02044333192082718,case_voxel_weighted
real_pairwise_world_stability,HEM_PA101.nii.gz,TN,27603336,0.5114180965360942,case_voxel_weighted
real_pairwise_world_stability,HEM_PA101.nii.gz,TP,486419,0.04396542082750565,case_voxel_weighted
confidence_rank,HCC_10020116_20180118.nii.gz,FN,43712,0.008830753174937206,case_voxel_weighted
confidence_rank,HCC_10020116_20180118.nii.gz,FP,43754,0.016397555109510194,case_voxel_weighted
confidence_rank,HCC_10020116_20180118.nii.gz,TN,27752930,0.5086226242595722,case_voxel_weighted
confidence_rank,HCC_10020116_20180118.nii.gz,TP,471156,0.08257635208203501,case_voxel_weighted
real_blur_joint_product,HCC_10020116_20180118.nii.gz,FN,43712,0.00022504323630112436,case_voxel_weighted
real_blur_joint_product,HCC_10020116_20180118.nii.gz,FP,43754,0.00015191697014377249,case_voxel_weighted
real_blur_joint_product,HCC_10020116_20180118.nii.gz,TN,27752930,0.29940035784388186,case_voxel_weighted
real_blur_joint_product,HCC_10020116_20180118.nii.gz,TP,471156,0.005334567635241688,case_voxel_weighted
real_blur_world_stability,HCC_10020116_20180118.nii.gz,FN,43712,0.016168910554592467,case_voxel_weighted
real_blur_world_stability,HCC_10020116_20180118.nii.gz,FP,43754,0.011742364291152609,case_voxel_weighted
real_blur_world_stability,HCC_10020116_20180118.nii.gz,TN,27752930,0.5091376588388329,case_voxel_weighted
real_blur_world_stability,HCC_10020116_20180118.nii.gz,TP,471156,0.051982199967270326,case_voxel_weighted
real_gamma_joint_product,HCC_10020116_20180118.nii.gz,FN,43712,0.0002414792711981233,case_voxel_weighted
real_gamma_joint_product,HCC_10020116_20180118.nii.gz,FP,43754,0.004067311230714996,case_voxel_weighted
real_gamma_joint_product,HCC_10020116_20180118.nii.gz,TN,27752930,0.3072262252854126,case_voxel_weighted
real_gamma_joint_product,HCC_10020116_20180118.nii.gz,TP,471156,0.05446873912060826,case_voxel_weighted
real_gamma_world_stability,HCC_10020116_20180118.nii.gz,FN,43712,0.011312403427068782,case_voxel_weighted
real_gamma_world_stability,HCC_10020116_20180118.nii.gz,FP,43754,0.026684005081629075,case_voxel_weighted
real_gamma_world_stability,HCC_10020116_20180118.nii.gz,TN,27752930,0.505434614116007,case_voxel_weighted
real_gamma_world_stability,HCC_10020116_20180118.nii.gz,TP,471156,0.2691688303356852,case_voxel_weighted
real_pairwise_joint_product,HCC_10020116_20180118.nii.gz,FN,43712,0.00020319572284546505,case_voxel_weighted
real_pairwise_joint_product,HCC_10020116_20180118.nii.gz,FP,43754,0.00010202822879078163,case_voxel_weighted
real_pairwise_joint_product,HCC_10020116_20180118.nii.gz,TN,27752930,0.30425359903327026,case_voxel_weighted
real_pairwise_joint_product,HCC_10020116_20180118.nii.gz,TP,471156,0.004870033355002006,case_voxel_weighted
real_pairwise_world_stability,HCC_10020116_20180118.nii.gz,FN,43712,0.014395330252608566,case_voxel_weighted
real_pairwise_world_stability,HCC_10020116_20180118.nii.gz,FP,43754,0.007821358609211512,case_voxel_weighted
real_pairwise_world_stability,HCC_10020116_20180118.nii.gz,TN,27752930,0.509362790396178,case_voxel_weighted
real_pairwise_world_stability,HCC_10020116_20180118.nii.gz,TP,471156,0.03924974259147388,case_voxel_weighted
confidence_rank,__all__,FN,,0.04580068739106526,8_case_macro
confidence_rank,__all__,FP,,0.03783916494501984,8_case_macro
confidence_rank,__all__,TN,,0.5123065246522965,8_case_macro
confidence_rank,__all__,TP,,0.046344906511042595,8_case_macro
real_blur_joint_product,__all__,FN,,0.006785692984273959,8_case_macro
real_blur_joint_product,__all__,FP,,0.007654150588360681,8_case_macro
real_blur_joint_product,__all__,TN,,0.2971762529990941,8_case_macro
real_blur_joint_product,__all__,TP,,0.004641205382211643,8_case_macro
real_blur_world_stability,__all__,FN,,0.04487251205271978,8_case_macro
real_blur_world_stability,__all__,FP,,0.04375812407883179,8_case_macro
real_blur_world_stability,__all__,TN,,0.5121735710787434,8_case_macro
real_blur_world_stability,__all__,TP,,0.05394088076910804,8_case_macro
real_gamma_joint_product,__all__,FN,,0.008027863160111205,8_case_macro
real_gamma_joint_product,__all__,FP,,0.016243006513251484,8_case_macro
real_gamma_joint_product,__all__,TN,,0.3001868460890803,8_case_macro
real_gamma_joint_product,__all__,TP,,0.016607269310758017,8_case_macro
real_gamma_world_stability,__all__,FN,,0.04214599463850484,8_case_macro
real_gamma_world_stability,__all__,FP,,0.06477294471163293,8_case_macro
real_gamma_world_stability,__all__,TN,,0.5110506857328586,8_case_macro
real_gamma_world_stability,__all__,TP,,0.11321942650682645,8_case_macro
real_pairwise_joint_product,__all__,FN,,0.006353502378890067,8_case_macro
real_pairwise_joint_product,__all__,FP,,0.007098752991526875,8_case_macro
real_pairwise_joint_product,__all__,TN,,0.3006103813993957,8_case_macro
real_pairwise_joint_product,__all__,TP,,0.003700371207687378,8_case_macro
real_pairwise_world_stability,__all__,FN,,0.03996756123049944,8_case_macro
real_pairwise_world_stability,__all__,FP,,0.032790180924208004,8_case_macro
real_pairwise_world_stability,__all__,TN,,0.5124811242010029,8_case_macro
real_pairwise_world_stability,__all__,TP,,0.04239028067532429,8_case_macro
