case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
HEM_PA29.nii.gz,2,foreground,real_blur_joint_product,foreground,535431,0.642958663207771,0.003042386825537437,0.6076421670731841,0.6831563685070836,0.17865856176190661
HEM_PA29.nii.gz,2,foreground,real_blur_joint_product,background,6542457,0.9990239141044412,0.33427803278574464,0.9997166704999407,0.9999997232686441,0.05405631392725676
HEM_PA29.nii.gz,2,foreground,real_pairwise_joint_product,overall,7077888,0.9720881426775897,0.32565705896858527,0.9760931660642096,0.9992891633866005,0.2716625453521592
HEM_PA29.nii.gz,2,foreground,real_pairwise_joint_product,foreground,535431,0.642958663207771,0.0026241719851045906,0.6212390521563012,0.6901760825718393,0.2012259252901868
HEM_PA29.nii.gz,2,foreground,real_pairwise_joint_product,background,6542457,0.9990239141044412,0.3520938886963851,0.999660127896053,0.999999668022469,0.05405019727839004
HEM_PA29.nii.gz,3,foreground,confidence_rank,overall,7077888,0.9600999620225694,0.500000071288111,0.9649988917534731,0.998295053831724,0.3152738827361024
HEM_PA29.nii.gz,3,foreground,confidence_rank,foreground,404359,0.42635133631253413,0.0505941814884213,0.37975974492387954,0.3384507063776361,-0.20599063926931738
HEM_PA29.nii.gz,3,foreground,confidence_rank,background,6673529,0.9924405812876516,0.5272302393436499,0.9941193210633952,0.9999551569544401,0.14825849926168064
HEM_PA29.nii.gz,3,foreground,real_gamma_world_stability,overall,7077888,0.9600999620225694,0.49999992896363843,0.9580650229241823,0.9975860489859307,0.31057241378732664
HEM_PA29.nii.gz,3,foreground,real_gamma_world_stability,foreground,404359,0.42635133631253413,0.05806680367747247,0.40194131858401705,0.35432226779934045,-0.16799034752255043
HEM_PA29.nii.gz,3,foreground,real_gamma_world_stability,background,6673529,0.9924405812876516,0.5267773111564166,0.9899962881249198,0.9997955010244338,0.1470212654819036
HEM_PA29.nii.gz,3,foreground,real_blur_world_stability,overall,7077888,0.9600999620225694,0.4999999291624051,0.9615016466915596,0.9981032377758815,0.31290242353203485
HEM_PA29.nii.gz,3,foreground,real_blur_world_stability,foreground,404359,0.42635133631253413,0.05033808265361333,0.22520577400564248,0.29327468446778465,-0.4707659917662252
HEM_PA29.nii.gz,3,foreground,real_blur_world_stability,background,6673529,0.9924405812876516,0.5272456060138054,0.9954326946588313,0.9999274144132586,0.1486524061887547
HEM_PA29.nii.gz,3,foreground,real_pairwise_world_stability,overall,7077888,0.9600999620225694,0.49999992868291615,0.9649657439018315,0.9983762710353397,0.31525103384442305
HEM_PA29.nii.gz,3,foreground,real_pairwise_world_stability,foreground,404359,0.42635133631253413,0.046924645010652064,0.2404986509111666,0.29472453279362265,-0.44456684544023956
HEM_PA29.nii.gz,3,foreground,real_pairwise_world_stability,background,6673529,0.9924405812876516,0.527452430744484,0.9966961821590887,0.9999709844388517,0.14903146542554968
HEM_PA29.nii.gz,3,foreground,real_gamma_joint_product,overall,7077888,0.9600999620225694,0.3274225482118593,0.963702265201247,0.9982298154851476,0.31439434245487463
HEM_PA29.nii.gz,3,foreground,real_gamma_joint_product,foreground,404359,0.42635133631253413,0.006534208944813073,0.3921582787004021,0.3423754669439938,-0.18474991275368008
HEM_PA29.nii.gz,3,foreground,real_gamma_joint_product,background,6673529,0.9924405812876516,0.346865647654101,0.9939588270134555,0.9999534018560966,0.14821011109120616
HEM_PA29.nii.gz,3,foreground,real_blur_joint_product,overall,7077888,0.9600999620225694,0.32095918201274826,0.9641527414444675,0.9983120623936059,0.3146997690275797
HEM_PA29.nii.gz,3,foreground,real_blur_joint_product,foreground,404359,0.42635133631253413,0.005177548989853202,0.25413378735226055,0.29681669006987943,-0.421207680566398
HEM_PA29.nii.gz,3,foreground,real_blur_joint_product,background,6673529,0.9924405812876516,0.340092858564915,0.995899074798821,0.9999685772674068,0.1487922734309635
HEM_PA29.nii.gz,3,foreground,real_pairwise_joint_product,overall,7077888,0.9600999620225694,0.3292094505555867,0.9650439415171075,0.9983562173307873,0.31530401087371857
HEM_PA29.nii.gz,3,foreground,real_pairwise_joint_product,foreground,404359,0.42635133631253413,0.004999421297672979,0.2697481427882198,0.3010084911400821,-0.39445782192351686
HEM_PA29.nii.gz,3,foreground,real_pairwise_joint_product,background,6673529,0.9924405812876516,0.3488538161110074,0.9959760194786177,0.9999692992701167,0.14881536039748067
HEP_PA28.nii.gz,0,context,confidence_rank,overall,7077888,0.9771635267469618,0.5000000737056541,0.8512554899930479,0.9880741699799747,0.18191534295532058
HEP_PA28.nii.gz,0,context,confidence_rank,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,confidence_rank,background,7077888,0.9771635267469618,0.5000000737056541,0.8512554899930479,0.9880741699799747,0.18191534295532058
HEP_PA28.nii.gz,0,context,real_gamma_world_stability,overall,7077888,0.9771635267469618,0.49999990979863973,0.6755823820144681,0.9810181214621182,0.09191301846294943
HEP_PA28.nii.gz,0,context,real_gamma_world_stability,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_gamma_world_stability,background,7077888,0.9771635267469618,0.49999990979863973,0.6755823820144681,0.9810181214621182,0.09191301846294943
HEP_PA28.nii.gz,0,context,real_blur_world_stability,overall,7077888,0.9771635267469618,0.499999931662985,0.8019782310768326,0.9807205177799645,0.15626940373587783
HEP_PA28.nii.gz,0,context,real_blur_world_stability,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_blur_world_stability,background,7077888,0.9771635267469618,0.499999931662985,0.8019782310768326,0.9807205177799645,0.15626940373587783
HEP_PA28.nii.gz,0,context,real_pairwise_world_stability,overall,7077888,0.9771635267469618,0.49999992866700843,0.8654835180525928,0.9866783662705334,0.18913170024115142
