method,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
real_blur_joint_product,HEM_PA81.nii.gz,foreground,4,2,0.5022295261746704,0.0047794219854554116,0.7203100487922799,0.8231108147486531,0.27718511805556123,case_patch_macro
real_blur_joint_product,HEM_PA81.nii.gz,overall,4,3,0.991169223078975,0.2857300468655152,0.9845656955727126,0.9998045314085776,0.14115312655563247,case_patch_macro
real_blur_world_stability,HEM_PA81.nii.gz,background,4,2,0.9995680640515562,0.5139804291750205,0.992086775696778,0.999982141931318,0.04342269730684837,case_patch_macro
real_blur_world_stability,HEM_PA81.nii.gz,foreground,4,2,0.5022295261746704,0.0531504675979333,0.7469298521996195,0.8534786305940703,0.3249881861015963,case_patch_macro
real_blur_world_stability,HEM_PA81.nii.gz,overall,4,3,0.991169223078975,0.49999993221983574,0.983058111883695,0.9997778559959171,0.14080334224428345,case_patch_macro
real_gamma_joint_product,HEM_PA81.nii.gz,background,4,2,0.9995680640515562,0.29604428041328235,0.9970851819565518,0.9999977490054505,0.04408602764419474,case_patch_macro
real_gamma_joint_product,HEM_PA81.nii.gz,foreground,4,2,0.5022295261746704,0.08930233503962681,0.7715617116775862,0.8446016310526578,0.36103927747191056,case_patch_macro
real_gamma_joint_product,HEM_PA81.nii.gz,overall,4,3,0.991169223078975,0.28585395432172767,0.8240631345726065,0.999837120769051,0.20968034211280104,case_patch_macro
real_gamma_world_stability,HEM_PA81.nii.gz,background,4,2,0.9995680640515562,0.5140192816246549,0.9869150184959965,0.9999693160314687,0.04280139257899449,case_patch_macro
real_gamma_world_stability,HEM_PA81.nii.gz,foreground,4,2,0.5022295261746704,0.21635393766058905,0.8215707251801674,0.8778821109577812,0.44655410284718866,case_patch_macro
real_gamma_world_stability,HEM_PA81.nii.gz,overall,4,3,0.991169223078975,0.49999993532232007,0.8236221144566703,0.999824897321282,0.21002780871484206,case_patch_macro
real_pairwise_joint_product,HEM_PA81.nii.gz,background,4,2,0.9995680640515562,0.2984690852203406,0.9979781503733491,0.9999984559108558,0.044198022592780946,case_patch_macro
real_pairwise_joint_product,HEM_PA81.nii.gz,foreground,4,2,0.5022295261746704,0.00391525543590263,0.7581068844164776,0.8491453381827652,0.33875591114620435,case_patch_macro
real_pairwise_joint_product,HEM_PA81.nii.gz,overall,4,3,0.991169223078975,0.2880060883369072,0.9862377198424116,0.9998373806311927,0.14204050180545255,case_patch_macro
real_pairwise_world_stability,HEM_PA81.nii.gz,background,4,2,0.9995680640515562,0.5146701775411433,0.9955941727663222,0.9999957596617662,0.043927149249214426,case_patch_macro
real_pairwise_world_stability,HEM_PA81.nii.gz,foreground,4,2,0.5022295261746704,0.03510239904119567,0.8169484193564852,0.8988794543726623,0.4373206845772466,case_patch_macro
real_pairwise_world_stability,HEM_PA81.nii.gz,overall,4,3,0.991169223078975,0.49999993216897143,0.9873223548474513,0.9998718090155613,0.142870321287587,case_patch_macro
