case_id,patch_index,patch_kind,action,layer,feature_shape,delta_norm,relative_delta,cosine_similarity,mse
HCC_10074592_20130816.nii.gz,3,foreground,blur,encoder_stage_2,1x64x96x96x96,3808.22705078125,0.44248759746551514,0.8997671604156494,0.25612500309944153
HCC_10074592_20130816.nii.gz,3,foreground,blur,encoder_stage_3,1x128x48x48x48,1809.0028076171875,0.3532628118991852,0.9371078014373779,0.23117706179618835
HCC_10074592_20130816.nii.gz,3,foreground,blur,encoder_stage_4,1x256x24x24x24,996.1815795898438,0.3127639889717102,0.9514263868331909,0.280416339635849
HCC_10074592_20130816.nii.gz,3,foreground,blur,encoder_stage_5,1x320x12x12x12,578.8282470703125,0.28301459550857544,0.9597336649894714,0.6059066653251648
HCC_10074592_20130816.nii.gz,3,foreground,blur,encoder_bottleneck_deepest,1x320x6x6x6,213.4806365966797,0.2506462633609772,0.9685534238815308,0.6593457460403442
CYST_PA19.nii.gz,0,context,gamma,encoder_stage_1,1x32x192x192x192,1343.514892578125,0.11217547208070755,0.9937014579772949,0.007969504222273827
CYST_PA19.nii.gz,0,context,gamma,encoder_stage_2,1x64x96x96x96,1059.9254150390625,0.127345472574234,0.9918758869171143,0.019840696826577187
CYST_PA19.nii.gz,0,context,gamma,encoder_stage_3,1x128x48x48x48,628.7981567382812,0.12649394571781158,0.9919973015785217,0.027931151911616325
CYST_PA19.nii.gz,0,context,gamma,encoder_stage_4,1x256x24x24x24,448.57220458984375,0.14167770743370056,0.9899331331253052,0.05685793235898018
CYST_PA19.nii.gz,0,context,gamma,encoder_stage_5,1x320x12x12x12,260.7435302734375,0.1296093463897705,0.9915918111801147,0.12295138090848923
CYST_PA19.nii.gz,0,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,100.21338653564453,0.11798178404569626,0.9930368065834045,0.14529401063919067
CYST_PA19.nii.gz,0,context,blur,encoder_stage_1,1x32x192x192x192,4760.6630859375,0.39748695492744446,0.9207586050033569,0.10006478428840637
CYST_PA19.nii.gz,0,context,blur,encoder_stage_2,1x64x96x96x96,3675.712646484375,0.44162100553512573,0.9008013010025024,0.23861044645309448
CYST_PA19.nii.gz,0,context,blur,encoder_stage_3,1x128x48x48x48,1752.9014892578125,0.35262733697891235,0.9370979070663452,0.21706077456474304
CYST_PA19.nii.gz,0,context,blur,encoder_stage_4,1x256x24x24x24,1076.30322265625,0.33994120359420776,0.9431444406509399,0.327337384223938
CYST_PA19.nii.gz,0,context,blur,encoder_stage_5,1x320x12x12x12,621.4869384765625,0.30892622470855713,0.9518589377403259,0.698506236076355
CYST_PA19.nii.gz,0,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,231.8900146484375,0.2730054259300232,0.9625911116600037,0.7779654860496521
CYST_PA19.nii.gz,1,context,gamma,encoder_stage_1,1x32x192x192x192,1451.9493408203125,0.12304094433784485,0.9924136996269226,0.009307848289608955
