case,action_type,action,prediction_mse,prediction_mae,mask_consistency,effective_voxel_weight,patch_voxel_observations,metric_scope,gt_used
HCC_10136895_20170421.nii.gz,real_mri,gamma:-0.30,0.0006378709248831097,0.0012012530472343178,0.9988290340678084,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,real_mri,gamma:+0.30,0.0014967294075432585,0.0021945163286673968,0.9977962704921844,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,real_mri,gaussian_noise:+0.02,0.0005591877027289114,0.001138215876478041,0.9988703438747356,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,real_mri,gaussian_noise:+0.05,0.0018491784888013953,0.0028411842855662218,0.9971942198055004,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,real_mri,bias_field:+0.05,0.0005728910438483363,0.0011628523134803478,0.9988560010096611,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,real_mri,bias_field:+0.15,0.0018164315916629984,0.0029055291172858104,0.9972319116918814,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,imagined_wp,gamma:-0.30,1.5319457451822376e-06,3.763770759777889e-05,0.9999631254628978,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,imagined_wp,gamma:+0.30,6.206990447548276e-07,2.2528531447541463e-05,0.9999790121791131,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,imagined_wp,gaussian_noise:+0.02,2.0412313690239746e-06,4.1231041798809116e-05,0.9999595458946197,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,imagined_wp,gaussian_noise:+0.05,4.733357891818222e-06,6.432191396137488e-05,0.9999364648618159,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,imagined_wp,bias_field:+0.05,2.8035503707933437e-06,4.6611752964091595e-05,0.9999553301540923,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,imagined_wp,bias_field:+0.15,1.0499229934675479e-05,9.368585718394792e-05,0.9999067905046408,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,real_mri,gamma:-0.30,4.765466164106719e-05,0.00020101624979517978,0.9998017781084727,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,real_mri,gamma:+0.30,4.3487054390255136e-05,0.00019208735232205453,0.999808746686521,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,real_mri,gaussian_noise:+0.02,2.0777902392027846e-05,0.00012847271219004712,0.999871721875859,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,real_mri,gaussian_noise:+0.05,0.0002193492755835469,0.0005010116947620259,0.999510537280094,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,real_mri,bias_field:+0.05,5.784552042358334e-05,0.00017898442885709633,0.9998223760173358,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
MET_PA13.nii.gz,real_mri,bias_field:+0.15,0.00032275568890125726,0.0005700644814391093,0.999438227655541,42637823.375,141557760,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,imagined_wp,gamma:-0.30,3.057364531788402e-06,7.43338223978537e-05,0.9999228166834733,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,imagined_wp,gamma:+0.30,2.1190882165875505e-06,5.932723627144974e-05,0.9999394608740884,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,imagined_wp,gaussian_noise:+0.02,4.702870415777831e-06,8.851572449939706e-05,0.9999108460420738,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,imagined_wp,gaussian_noise:+0.05,1.2795404043694342e-05,0.0001501097666851156,0.9998626960843571,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,imagined_wp,bias_field:+0.05,1.9470340897105258e-05,0.00014997312766580414,0.9998727949809213,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,imagined_wp,bias_field:+0.15,0.00014163090135232626,0.0004306182155226348,0.9996168503445139,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,real_mri,gamma:-0.30,0.0002903369328951065,0.0007284366074960197,0.9992884191922841,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,real_mri,gamma:+0.30,0.00032795007426444044,0.0007592527046194207,0.999249069923016,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,real_mri,gaussian_noise:+0.02,0.00012390044944376273,0.00046245336343102116,0.9995341137974512,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,real_mri,gaussian_noise:+0.05,0.0007889725478369198,0.0014862265128198508,0.9985540015474795,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,real_mri,bias_field:+0.05,0.0001273159573181811,0.00046428115690513947,0.9995472741400191,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
HCC_10074592_20130816.nii.gz,real_mri,bias_field:+0.15,0.0011707948665723776,0.0019471359094896162,0.9981182686504434,32255999.25,106168320,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,imagined_wp,gamma:-0.30,1.6926033679788014e-06,3.692035910378437e-05,0.9999632615743979,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,imagined_wp,gamma:+0.30,1.0691111729745312e-06,2.839666734068164e-05,0.999971784630685,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,imagined_wp,gaussian_noise:+0.02,2.3941524467191017e-06,4.373481740532904e-05,0.9999564390176248,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,imagined_wp,gaussian_noise:+0.05,5.240900429384588e-06,7.244316126022861e-05,0.9999342796586698,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,imagined_wp,bias_field:+0.05,3.4855734297596443e-06,6.567921613265072e-05,0.9999500423199702,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,imagined_wp,bias_field:+0.15,1.9316036647064184e-05,0.00015770563503692523,0.9999033945932263,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,real_mri,gamma:-0.30,5.77940153588044e-05,0.00021797915451460075,0.9997901307525237,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,real_mri,gamma:+0.30,6.295737182550833e-05,0.000225795603260143,0.9997776516118743,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,real_mri,gaussian_noise:+0.02,3.5430905718085625e-05,0.0001710878091062017,0.9998316916655221,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,real_mri,gaussian_noise:+0.05,0.00032975406780458793,0.0006691146494464803,0.9993890918783089,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,real_mri,bias_field:+0.05,4.2400992914855635e-05,0.00014979079923693714,0.9998574047453963,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA19.nii.gz,real_mri,bias_field:+0.15,0.0002638616968851552,0.000545664261001964,0.9994711211553949,42561023.625,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,imagined_wp,gamma:-0.30,2.173536981225443e-06,5.9406198468934396e-05,0.9999422960179152,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,imagined_wp,gamma:+0.30,1.523443968128163e-06,4.820293694400629e-05,0.9999550837833109,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,imagined_wp,gaussian_noise:+0.02,3.7543131965215523e-06,7.586494986637959e-05,0.9999261501622451,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,imagined_wp,gaussian_noise:+0.05,7.748635765512365e-06,0.00011407868833554282,0.9998919894048508,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,imagined_wp,bias_field:+0.05,3.882734116163912e-06,8.243816526992426e-05,0.9999219166603399,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,imagined_wp,bias_field:+0.15,1.638967858511043e-05,0.0001723693877238123,0.9998411029371372,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,real_mri,gamma:-0.30,0.00014806107628930726,0.0005205294912385505,0.999517380782813,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,real_mri,gamma:+0.30,0.00011471519828238715,0.00043796088961758114,0.9995768355881591,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,real_mri,gaussian_noise:+0.02,7.690226522581138e-05,0.00034677848118912013,0.999667357654494,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,real_mri,gaussian_noise:+0.05,0.0004217878418143186,0.0009401873010529209,0.9990908442065557,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,real_mri,bias_field:+0.05,6.377357116550122e-05,0.0003140540688731594,0.9996956523095143,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HEM_PA13.nii.gz,real_mri,bias_field:+0.15,0.001018827508323633,0.0016811732379689924,0.9983984499032774,44407680.5,141557760,inverse-overlap-normalized patch predictions,False
HCC_10142924_20170911.nii.gz,imagined_wp,gamma:-0.30,3.4672736037488795e-06,6.880298353432867e-05,0.9999322577152278,28746816.0625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10142924_20170911.nii.gz,imagined_wp,gamma:+0.30,3.147665646318749e-06,6.244051465756654e-05,0.9999399933545249,28746816.0625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10142924_20170911.nii.gz,imagined_wp,gaussian_noise:+0.02,7.497570094344957e-06,9.482446290702299e-05,0.9999080115518098,28746816.0625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10142924_20170911.nii.gz,imagined_wp,gaussian_noise:+0.05,1.607756569196525e-05,0.00014012218322699826,0.9998634653141598,28746816.0625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10142924_20170911.nii.gz,imagined_wp,bias_field:+0.05,1.045462410100816e-05,0.00010991331921973148,0.999892401127371,28746816.0625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10142924_20170911.nii.gz,imagined_wp,bias_field:+0.15,4.3341371205249384e-05,0.0002297061675150921,0.9997787711520408,28746816.0625,106168320,inverse-overlap-normalized patch predictions,False
