case,action,raw_support_voxels_before,raw_support_voxels_after,raw_support_identical,raw_outside_support_values_identical,preprocessed_shape_before,preprocessed_shape_after,preprocessed_shape_identical,padded_shape_identical,sliding_window_count_before,sliding_window_count_after,sliding_window_topology_identical,raw_action_generation
HCC_10074592_20130816.nii.gz,gaussian_noise:+0.05,4200000,4200000,True,True,"[1, 25, 336, 500]","[1, 25, 336, 500]",True,True,15,15,True,V0 stable case/action/seed
HCC_10074592_20130816.nii.gz,bias_field:+0.05,4200000,4200000,True,True,"[1, 25, 336, 500]","[1, 25, 336, 500]",True,True,15,15,True,V0 stable case/action/seed
HCC_10074592_20130816.nii.gz,bias_field:+0.15,4200000,4200000,True,True,"[1, 25, 336, 500]","[1, 25, 336, 500]",True,True,15,15,True,V0 stable case/action/seed
CYST_PA19.nii.gz,gamma:-0.30,5985144,5985144,True,True,"[1, 27, 458, 484]","[1, 27, 458, 484]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA19.nii.gz,gamma:+0.30,5985144,5985144,True,True,"[1, 27, 458, 484]","[1, 27, 458, 484]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA19.nii.gz,gaussian_noise:+0.02,5985144,5985144,True,True,"[1, 27, 458, 484]","[1, 27, 458, 484]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA19.nii.gz,gaussian_noise:+0.05,5985144,5985144,True,True,"[1, 27, 458, 484]","[1, 27, 458, 484]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA19.nii.gz,bias_field:+0.05,5985144,5985144,True,True,"[1, 27, 458, 484]","[1, 27, 458, 484]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA19.nii.gz,bias_field:+0.15,5985144,5985144,True,True,"[1, 27, 458, 484]","[1, 27, 458, 484]",True,True,20,20,True,V0 stable case/action/seed
HEM_PA13.nii.gz,gamma:-0.30,6243545,6243545,True,True,"[1, 27, 458, 505]","[1, 27, 458, 505]",True,True,20,20,True,V0 stable case/action/seed
HEM_PA13.nii.gz,gamma:+0.30,6243545,6243545,True,True,"[1, 27, 458, 505]","[1, 27, 458, 505]",True,True,20,20,True,V0 stable case/action/seed
HEM_PA13.nii.gz,gaussian_noise:+0.02,6243545,6243545,True,True,"[1, 27, 458, 505]","[1, 27, 458, 505]",True,True,20,20,True,V0 stable case/action/seed
HEM_PA13.nii.gz,gaussian_noise:+0.05,6243545,6243545,True,True,"[1, 27, 458, 505]","[1, 27, 458, 505]",True,True,20,20,True,V0 stable case/action/seed
HEM_PA13.nii.gz,bias_field:+0.05,6243545,6243545,True,True,"[1, 27, 458, 505]","[1, 27, 458, 505]",True,True,20,20,True,V0 stable case/action/seed
HEM_PA13.nii.gz,bias_field:+0.15,6243545,6243545,True,True,"[1, 27, 458, 505]","[1, 27, 458, 505]",True,True,20,20,True,V0 stable case/action/seed
HCC_10142924_20170911.nii.gz,gamma:-0.30,3443629,3443629,True,True,"[1, 23, 293, 511]","[1, 23, 293, 511]",True,True,15,15,True,V0 stable case/action/seed
HCC_10142924_20170911.nii.gz,gamma:+0.30,3443629,3443629,True,True,"[1, 23, 293, 511]","[1, 23, 293, 511]",True,True,15,15,True,V0 stable case/action/seed
HCC_10142924_20170911.nii.gz,gaussian_noise:+0.02,3443629,3443629,True,True,"[1, 23, 293, 511]","[1, 23, 293, 511]",True,True,15,15,True,V0 stable case/action/seed
HCC_10142924_20170911.nii.gz,gaussian_noise:+0.05,3443629,3443629,True,True,"[1, 23, 293, 511]","[1, 23, 293, 511]",True,True,15,15,True,V0 stable case/action/seed
HCC_10142924_20170911.nii.gz,bias_field:+0.05,3443629,3443629,True,True,"[1, 23, 293, 511]","[1, 23, 293, 511]",True,True,15,15,True,V0 stable case/action/seed
HCC_10142924_20170911.nii.gz,bias_field:+0.15,3443629,3443629,True,True,"[1, 23, 293, 511]","[1, 23, 293, 511]",True,True,15,15,True,V0 stable case/action/seed
MET_PA25.nii.gz,gamma:-0.30,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
MET_PA25.nii.gz,gamma:+0.30,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
MET_PA25.nii.gz,gaussian_noise:+0.02,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
MET_PA25.nii.gz,gaussian_noise:+0.05,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
MET_PA25.nii.gz,bias_field:+0.05,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
MET_PA25.nii.gz,bias_field:+0.15,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
HCC_10147777_20171222.nii.gz,gamma:-0.30,3481372,3481372,True,True,"[1, 23, 316, 479]","[1, 23, 316, 479]",True,True,12,12,True,V0 stable case/action/seed
HCC_10147777_20171222.nii.gz,gamma:+0.30,3481372,3481372,True,True,"[1, 23, 316, 479]","[1, 23, 316, 479]",True,True,12,12,True,V0 stable case/action/seed
HCC_10147777_20171222.nii.gz,gaussian_noise:+0.02,3481372,3481372,True,True,"[1, 23, 316, 479]","[1, 23, 316, 479]",True,True,12,12,True,V0 stable case/action/seed
HCC_10147777_20171222.nii.gz,gaussian_noise:+0.05,3481372,3481372,True,True,"[1, 23, 316, 479]","[1, 23, 316, 479]",True,True,12,12,True,V0 stable case/action/seed
HCC_10147777_20171222.nii.gz,bias_field:+0.05,3481372,3481372,True,True,"[1, 23, 316, 479]","[1, 23, 316, 479]",True,True,12,12,True,V0 stable case/action/seed
HCC_10147777_20171222.nii.gz,bias_field:+0.15,3481372,3481372,True,True,"[1, 23, 316, 479]","[1, 23, 316, 479]",True,True,12,12,True,V0 stable case/action/seed
HCC_PA0.nii.gz,gamma:-0.30,24131520,24131520,True,True,"[1, 95, 504, 504]","[1, 95, 504, 504]",True,True,25,25,True,V0 stable case/action/seed
