variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou
A0_confidence_rank,forward,12,MET_PA13.nii.gz,full_volume,203954,32494,5069134,24146,0.8780750320741882,0.8625744349709027,0.8941429197720299,0.782650406379272
A0_confidence_rank,forward,12,HCC_10074592_20130816.nii.gz,full_volume,257278,64667,3868198,9857,0.8734908671148232,0.7991364984702356,0.9631010537743089,0.7753961700050029
A0_confidence_rank,forward,12,CYST_PA19.nii.gz,full_volume,242512,31805,5681136,29691,0.8874771280099539,0.88405749552525,0.8909233182587994,0.7977158495829058
A0_confidence_rank,forward,12,HEM_PA13.nii.gz,full_volume,390667,58349,5751621,44193,0.8839859889848802,0.8700514012863684,0.8983741893942878,0.7920921962089094
A0_confidence_rank,forward,16,HEM_PA81.nii.gz,full_volume,1119745,271890,13470919,422694,0.7632697743819685,0.8046254944723293,0.7259573960461322,0.6171675589157204
A0_confidence_rank,forward,16,HEM_PA89.nii.gz,full_volume,502750,162222,6922524,155477,0.7599008161281863,0.7560468711464543,0.7637942533502879,0.6127742248451762
A0_confidence_rank,forward,16,HEM_PA101.nii.gz,full_volume,803190,161310,13275082,216608,0.8095457436332648,0.8327527216174183,0.7875971515927664,0.6800309539855797
A0_confidence_rank,forward,16,HCC_10020116_20180118.nii.gz,full_volume,233901,84429,2962476,23742,0.8121943216088254,0.7347752332485157,0.9078492332413456,0.6837770995579878
A0_confidence_rank,forward,16,MET_PA13.nii.gz,full_volume,209377,35565,5066063,18723,0.8852364060696514,0.854802361375346,0.9179175800087681,0.79410236474314
A0_confidence_rank,forward,16,HCC_10074592_20130816.nii.gz,full_volume,258278,69724,3863141,8857,0.8679614945802395,0.7874281254382596,0.9668444793830835,0.7667243564814952
A0_confidence_rank,forward,16,CYST_PA19.nii.gz,full_volume,243990,34333,5678608,28213,0.886388653760222,0.8766433244827053,0.8963530894222327,0.7959587128428635
A0_confidence_rank,forward,16,HEM_PA13.nii.gz,full_volume,395217,64050,5745920,39643,0.8840287789094837,0.8605386409212942,0.9088373269558019,0.7921609107855124
A0_confidence_rank,forward,20,HEM_PA81.nii.gz,full_volume,1192006,345510,13397299,350433,0.7740411791730724,0.7752803873260506,0.7728059261987021,0.6313761653519242
A0_confidence_rank,forward,20,HEM_PA89.nii.gz,full_volume,514081,203646,6881100,144146,0.7472357360783863,0.7162625900934478,0.7810086793765677,0.5964695494579828
A0_confidence_rank,forward,20,HEM_PA101.nii.gz,full_volume,824042,188893,13247499,195756,0.8107724920095261,0.8135191300527674,0.8080443381924656,0.6817639909621235
A0_confidence_rank,forward,20,HCC_10020116_20180118.nii.gz,full_volume,238251,92595,2954310,19392,0.8097041745894995,0.7201265845740918,0.9247330608632875,0.6802545697497131
A0_confidence_rank,forward,20,MET_PA13.nii.gz,full_volume,214625,40065,5061563,13475,0.8891029225957455,0.8426911146884448,0.9409250328803157,0.8003468014095799
A0_confidence_rank,forward,20,HCC_10074592_20130816.nii.gz,full_volume,259445,76797,3856068,7690,0.8599764326449301,0.7716020009397994,0.9712130570685235,0.7543496970331345
A0_confidence_rank,forward,20,CYST_PA19.nii.gz,full_volume,245819,37778,5675163,26384,0.88455919395466,0.8667898461549312,0.9030723393937613,0.7930131201589775
A0_confidence_rank,forward,20,HEM_PA13.nii.gz,full_volume,400492,72513,5737457,34368,0.8822721439861654,0.8466971807909007,0.9209676677551396,0.7893443285314748
A0_confidence_rank,reverse,20,HEM_PA81.nii.gz,full_volume,1202494,360092,13382717,339945,0.7745470648384474,0.7695538037586411,0.7796055467995817,0.6320496223189005
A0_confidence_rank,reverse,20,HEM_PA89.nii.gz,full_volume,514870,208071,6876675,143357,0.7455573833161498,0.7121881315349385,0.7822073539979368,0.5943335895961898
A0_confidence_rank,reverse,20,HEM_PA101.nii.gz,full_volume,827186,194945,13241447,192612,0.8102005505578304,0.8092759147310863,0.8111273016813133,0.6809555601472904
A0_confidence_rank,reverse,20,HCC_10020116_20180118.nii.gz,full_volume,238977,93794,2953111,18666,0.8095234869091857,0.7181425064083108,0.9275509134732944,0.6799995447263664
A0_confidence_rank,reverse,20,MET_PA13.nii.gz,full_volume,215226,40844,5060784,12874,0.889051366255654,0.8404967391728824,0.9435598421744849,0.8002632518293771
A0_confidence_rank,reverse,20,HCC_10074592_20130816.nii.gz,full_volume,259530,77906,3854959,7605,0.8585592097536932,0.7691236264061926,0.9715312482452693,0.7521714810703656
A0_confidence_rank,reverse,20,CYST_PA19.nii.gz,full_volume,246033,38268,5674673,26170,0.8842092779207337,0.8653961822153281,0.9038585173565317,0.7924508247147076
A0_confidence_rank,reverse,20,HEM_PA13.nii.gz,full_volume,401150,74192,5735778,33710,0.8814526885240859,0.8439186943295564,0.9224807984178817,0.7880334425559667
A1_world_pairwise,forward,4,HEM_PA81.nii.gz,full_volume,1003247,169991,13572818,539192,0.7388559095945505,0.8551095344678573,0.6504289634792688,0.5858616118615068
A1_world_pairwise,forward,4,HEM_PA89.nii.gz,full_volume,484372,138783,6945963,173855,0.7560149900654137,0.7772897593696593,0.7358737942989273,0.6077364148505038
A1_world_pairwise,forward,4,HEM_PA101.nii.gz,full_volume,764533,122115,13314277,255265,0.8020505170353632,0.862273416282448,0.7496906250061287,0.669519481781887
A1_world_pairwise,forward,4,HCC_10020116_20180118.nii.gz,full_volume,223136,71529,2975376,34507,0.8080129203270638,0.7572531518843433,0.8660666115516432,0.6778705357685344
A1_world_pairwise,forward,4,MET_PA13.nii.gz,full_volume,200955,29677,5071951,27145,0.8761324695028906,0.8713231468313157,0.8809951775537045,0.7795691624931627
A1_world_pairwise,forward,4,HCC_10074592_20130816.nii.gz,full_volume,255954,59266,3873599,11181,0.8790308317091808,0.8119852801218197,0.9581447582682913,0.7841703916348296
A1_world_pairwise,forward,4,CYST_PA19.nii.gz,full_volume,240571,29158,5683783,31632,0.8878272550799732,0.8918989059389238,0.8837926106618957,0.7982817949236962
A1_world_pairwise,forward,4,HEM_PA13.nii.gz,full_volume,384431,52121,5757849,50429,0.8823174342331755,0.8806075793948945,0.8840339419583314,0.7894168355644265
A1_world_pairwise,forward,8,HEM_PA81.nii.gz,full_volume,1033963,183187,13559622,508476,0.7493601402237797,0.8494951320708212,0.67034287903768,0.5991813985185666
A1_world_pairwise,forward,8,HEM_PA89.nii.gz,full_volume,489602,143685,6941061,168625,0.758183031697682,0.7731123487455135,0.7438193814595877,0.6105433015093925
A1_world_pairwise,forward,8,HEM_PA101.nii.gz,full_volume,775703,129114,13307278,244095,0.8060864120876123,0.8573037420826531,0.7606437745514307,0.6751631108387761
A1_world_pairwise,forward,8,HCC_10020116_20180118.nii.gz,full_volume,225976,74790,2972115,31667,0.8093565827198343,0.7513349248252794,0.8770896162519455,0.6797640426792767
A1_world_pairwise,forward,8,MET_PA13.nii.gz,full_volume,202279,30849,5070779,25821,0.8771323510281249,0.8676735527263992,0.886799649276633,0.781153817933261
A1_world_pairwise,forward,8,HCC_10074592_20130816.nii.gz,full_volume,256656,61729,3871136,10479,0.8766771416860227,0.8061183786924635,0.960772643045651,0.780432032694366
