variant,reliability_source,epoch,step,case,patch_index,augmentation,pseudo_positive_voxels,pseudo_negative_voxels,positive_fraction,positive_weight_sum,positive_weight_mean,L_pos,negative_weight_sum,negative_weight_mean,L_neg,total_loss
A0_confidence_rank,confidence_rank,2,90,HCC_10147777_20171222.nii.gz,1,blur:1.5,228868,6849020,0.032335635274648666,8984.70703125,0.03925715759396553,0.34517616033554077,3529960.0,0.5153963565826416,0.0034768583718687296,0.17432650923728943
A0_confidence_rank,confidence_rank,2,91,HCC_PA0.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,92,HCC_PA0.nii.gz,1,gamma:0.3,1135813,5942075,0.16047343611717224,188333.0,0.1658133864402771,0.0028460875619202852,3350611.5,0.5638790130615234,0.0006657919730059803,0.0017559397965669632
A0_confidence_rank,confidence_rank,2,93,CYST_PA37.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,94,CYST_PA37.nii.gz,1,blur:1.5,202150,6875738,0.028560779988765717,6514.08544921875,0.03222401812672615,0.060152824968099594,3532430.5,0.5137529373168945,0.00031579448841512203,0.030234308913350105
A0_confidence_rank,confidence_rank,2,95,ICC_PA18.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,96,ICC_PA18.nii.gz,1,gamma:0.3,831496,6246392,0.11747798323631287,121992.3671875,0.14671431481838226,0.002932157600298524,3416952.0,0.5470280647277832,0.00039477599784731865,0.0016634667990729213
A0_confidence_rank,confidence_rank,2,97,HCC_10081574_20140213.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,1.5164346223173197e-07,1.5164346223173197e-07
A0_confidence_rank,confidence_rank,2,98,HCC_10081574_20140213.nii.gz,1,blur:1.5,217923,6859965,0.030789269134402275,10461.2939453125,0.04800454527139664,0.009403664618730545,3528483.25,0.5143588185310364,0.0013535497710108757,0.00537860719487071
A0_confidence_rank,confidence_rank,2,99,MET_PA19.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,100,MET_PA19.nii.gz,1,gamma:0.3,183634,6894254,0.025944745168089867,4219.3125,0.022976748645305634,0.003836469491943717,3534725.25,0.5127059817314148,5.583816528087482e-05,0.0019461538176983595
A0_confidence_rank,confidence_rank,2,101,HEM_PA24.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,102,HEM_PA24.nii.gz,1,blur:1.5,241542,6836346,0.03412628173828125,6929.01220703125,0.02868657372891903,0.03545178845524788,3532015.5,0.516652524471283,0.0010364108020439744,0.018244098871946335
A0_confidence_rank,confidence_rank,2,103,CYST_PA74.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,104,CYST_PA74.nii.gz,1,gamma:0.3,258931,6818957,0.03658308833837509,11661.591796875,0.04503745213150978,0.0009217689512297511,3527283.0,0.5172760486602783,5.2913113904651254e-05,0.00048734102165326476
A0_confidence_rank,confidence_rank,2,105,HEM_PA34.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,106,HEM_PA34.nii.gz,1,blur:1.5,293538,6784350,0.04147254303097725,14137.564453125,0.048162635415792465,0.008479547686874866,3524807.0,0.5195496678352356,0.0004944188985973597,0.004486983176320791
A0_confidence_rank,confidence_rank,2,107,FNH_PA32.nii.gz,0,blur:1.5,82806,6995082,0.011699252761900425,931.338134765625,0.01124723069369793,0.06006491929292679,3538013.0,0.5057857632637024,8.988765330286697e-06,0.03003695420920849
A0_confidence_rank,confidence_rank,2,108,FNH_PA32.nii.gz,1,gamma:0.3,284258,6793630,0.04016141593456268,9376.482421875,0.03298581764101982,0.0026488325092941523,3529568.0,0.5195407867431641,1.303509452554863e-05,0.001330933766439557
A0_confidence_rank,confidence_rank,2,109,FNH_PA10.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,110,FNH_PA10.nii.gz,1,blur:1.5,863052,6214836,0.1219363734126091,110851.6875,0.12844149768352509,0.0030206700321286917,3428093.0,0.551598310470581,0.0021257936023175716,0.00257323170080781
A0_confidence_rank,confidence_rank,2,111,CYST_PA54.nii.gz,0,blur:1.5,84090,6993798,0.011880663223564625,1204.2921142578125,0.014321466907858849,0.04090271145105362,3537740.25,0.5058396458625793,1.5423398508573882e-05,0.020459067076444626
A0_confidence_rank,confidence_rank,2,112,CYST_PA54.nii.gz,1,gamma:0.3,231321,6846567,0.032682206481695175,7036.67822265625,0.030419539660215378,0.0017175120301544666,3531907.5,0.5158654451370239,1.955515290319454e-05,0.0008685335633344948
A0_confidence_rank,confidence_rank,2,113,CYST_PA53.nii.gz,0,gamma:0.3,256227,6821661,0.036201052367687225,10988.005859375,0.042883869260549545,0.0009665266843512654,3527956.5,0.517169713973999,2.1298166757333092e-05,0.0004939124337397516
A0_confidence_rank,confidence_rank,2,114,CYST_PA53.nii.gz,1,blur:1.5,395200,6682688,0.05583586543798447,20415.50390625,0.051658663898706436,0.028400782495737076,3518529.0,0.5265140533447266,3.292204928584397e-05,0.014216852374374866
A0_confidence_rank,confidence_rank,2,115,CYST_PA38.nii.gz,0,blur:1.5,48054,7029834,0.0067893136292696,471.3070068359375,0.009807862341403961,0.051687780767679214,3538473.25,0.5033509135246277,3.887374077748973e-06,0.025845834985375404
A0_confidence_rank,confidence_rank,2,116,CYST_PA38.nii.gz,1,gamma:0.3,227620,6850268,0.03215930983424187,6472.423828125,0.02843521535396576,0.0014076374936848879,3532472.0,0.5156691670417786,1.0344074325985275e-05,0.0007089907885529101
A0_confidence_rank,confidence_rank,2,117,HEM_PA66.nii.gz,0,gamma:0.3,50026,7027862,0.007067927625030279,434.0385437011719,0.008676259778439999,0.004548725672066212,3538510.5,0.5034974217414856,2.521011538192397e-06,0.002275623381137848
A0_confidence_rank,confidence_rank,2,118,HEM_PA66.nii.gz,1,blur:1.5,240303,6837585,0.033951230347156525,6582.3681640625,0.027391953393816948,0.013178291730582714,3532362.0,0.5166096091270447,2.1580062821158208e-05,0.006599935702979565
A0_confidence_rank,confidence_rank,2,119,HEM_PA56.nii.gz,0,blur:1.5,84305,6993583,0.011911039240658283,890.8877563476562,0.010567436926066875,0.022674014791846275,3538053.75,0.5059000253677368,8.009599696379155e-06,0.011341012082993984
