uncertainty_variant,score_metric,region,voxel_count,voxel_weighted_mean,global,case
language_only,pairwise_abs,TP,257337,0.02480542247891118,,HEP_PA28.nii.gz
language_only,pairwise_abs,TN,27554088,0.00013077303459240006,,HEP_PA28.nii.gz
language_only,pairwise_abs,FP,236908,0.01976949677860316,,HEP_PA28.nii.gz
language_only,pairwise_abs,FN,263219,0.005415936428552925,,HEP_PA28.nii.gz
visual_language,mean_probability,TP,257337,0.5265942163089068,,HEP_PA28.nii.gz
visual_language,mean_probability,TN,27554088,0.0007243202330049599,,HEP_PA28.nii.gz
visual_language,mean_probability,FP,236908,0.7011560753763023,,HEP_PA28.nii.gz
visual_language,mean_probability,FN,263219,0.032119000766424585,,HEP_PA28.nii.gz
visual_language,variance,TP,257337,0.0028157963784043206,,HEP_PA28.nii.gz
visual_language,variance,TN,27554088,5.0358034069850065e-05,,HEP_PA28.nii.gz
visual_language,variance,FP,236908,0.0063212395178798095,,HEP_PA28.nii.gz
visual_language,variance,FN,263219,0.0007040700121728926,,HEP_PA28.nii.gz
visual_language,std,TP,257337,0.02661325148327405,,HEP_PA28.nii.gz
visual_language,std,TN,27554088,0.0003024570681604011,,HEP_PA28.nii.gz
visual_language,std,FP,236908,0.03857993079654425,,HEP_PA28.nii.gz
visual_language,std,FN,263219,0.007209546943614035,,HEP_PA28.nii.gz
visual_language,pairwise_abs,TP,257337,0.03664159974344899,,HEP_PA28.nii.gz
visual_language,pairwise_abs,TN,27554088,0.000393583784852345,,HEP_PA28.nii.gz
visual_language,pairwise_abs,FP,236908,0.052371565147187486,,HEP_PA28.nii.gz
visual_language,pairwise_abs,FN,263219,0.009704126080907392,,HEP_PA28.nii.gz
visual_only,mean_probability,TP,257337,0.526434686163482,,HEP_PA28.nii.gz
visual_only,mean_probability,TN,27554088,0.0007432087100139043,,HEP_PA28.nii.gz
visual_only,mean_probability,FP,236908,0.7008556506569632,,HEP_PA28.nii.gz
visual_only,mean_probability,FN,263219,0.03254264345580301,,HEP_PA28.nii.gz
visual_only,variance,TP,257337,0.003403924227603038,,HEP_PA28.nii.gz
