split,case,patch_index,patch_kind,gamma_strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
val,CYST_PA62.nii.gz,1,context,0.3,0.10764104872941971,0.0450340174138546,0.011742012575268745
val,CYST_PA62.nii.gz,2,foreground,-0.3,0.0306552741676569,0.029548950493335724,0.009326165542006493
val,CYST_PA62.nii.gz,2,foreground,-0.15,0.006367009598761797,0.007996384985744953,0.0020687899086624384
val,CYST_PA62.nii.gz,2,foreground,0.15,0.004586337599903345,0.008020679466426373,0.0018711305456236005
val,CYST_PA62.nii.gz,2,foreground,0.3,0.015824325382709503,0.029243264347314835,0.007973282597959042
val,CYST_PA62.nii.gz,3,context_fill,-0.3,0.04210442304611206,0.012255040928721428,0.001960097113624215
val,CYST_PA62.nii.gz,3,context_fill,-0.15,0.009231391362845898,0.0031146486289799213,0.000472205167170614
val,CYST_PA62.nii.gz,3,context_fill,0.15,0.007447496987879276,0.002290018368512392,0.00033663478097878397
val,CYST_PA62.nii.gz,3,context_fill,0.3,0.027412815019488335,0.007250153459608555,0.0010796040296554565
val,HEM_PA29.nii.gz,0,context,-0.3,0.021506788209080696,0.014462324790656567,0.0022471100091934204
val,HEM_PA29.nii.gz,0,context,-0.15,0.005042508244514465,0.004090821370482445,0.0006019200664013624
val,HEM_PA29.nii.gz,0,context,0.15,0.004413051996380091,0.003748438786715269,0.00058138114400208
val,HEM_PA29.nii.gz,0,context,0.3,0.0164102241396904,0.013172151520848274,0.002252075122669339
val,HEM_PA29.nii.gz,1,context,-0.3,0.058953579515218735,0.01175735704600811,0.0019526943797245622
val,HEM_PA29.nii.gz,1,context,-0.15,0.012863611802458763,0.002805866999551654,0.0005216071149334311
val,HEM_PA29.nii.gz,1,context,0.15,0.010053295642137527,0.002045943634584546,0.00039912411011755466
val,HEM_PA29.nii.gz,1,context,0.3,0.036188382655382156,0.006880606524646282,0.0013970787404105067
val,HEM_PA29.nii.gz,2,foreground,-0.3,0.05321912094950676,0.18525591492652893,0.12275868654251099
val,HEM_PA29.nii.gz,2,foreground,-0.15,0.012187655083835125,0.022341730073094368,0.0156497061252594
val,HEM_PA29.nii.gz,2,foreground,0.15,0.009858322329819202,0.014186844229698181,0.008580735884606838
val,HEM_PA29.nii.gz,2,foreground,0.3,0.03503748029470444,0.04654905945062637,0.026801710948348045
val,HEM_PA29.nii.gz,3,foreground,-0.3,0.037755828350782394,0.4566880762577057,0.27126094698905945
val,HEM_PA29.nii.gz,3,foreground,-0.15,0.007988433353602886,0.028096718713641167,0.012879554182291031
val,HEM_PA29.nii.gz,3,foreground,0.15,0.00575691182166338,0.014601379632949829,0.003747927490621805
val,HEM_PA29.nii.gz,3,foreground,0.3,0.019684331491589546,0.0412776917219162,0.009895101189613342
