case,patch_index,patch_kind,action,comparison_group,state_shape,channels,spatial_resolution,normalized_mse_to_real_A,group_delta_norm,true_delta_norm,predicted_delta_norm,magnitude_ratio,delta_cosine_to_true,delta_cosine_valid,group_delta_rms,true_delta_rms
CYST_PA37.nii.gz,0,context,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.03489303216338158,410.4925537109375,919.241455078125,410.4925537109375,0.4465557459830294,0.28476840257644653,True,0.20572742819786072,0.4606981575489044
CYST_PA37.nii.gz,0,context,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,919.241455078125,919.241455078125,919.241455078125,1.0,0.9999999403953552,True,0.4606981575489044,0.4606981575489044
CYST_PA37.nii.gz,1,context,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.007472444791346788,0.0,240.58001708984375,0.0,0.0,,False,0.0,0.12057199329137802
CYST_PA37.nii.gz,1,context,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.007459793705493212,12.718888282775879,240.58001708984375,12.718888282775879,0.052867600711933006,0.04244571924209595,True,0.006374351680278778,0.12057199329137802
CYST_PA37.nii.gz,1,context,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,240.58001708984375,240.58001708984375,240.58001708984375,1.0,1.0,True,0.12057199329137802,0.12057199329137802
CYST_PA37.nii.gz,1,context,blur,identity_source,1x288x24x24x24,288,24x24x24,0.09958214312791824,0.0,860.0573120117188,0.0,0.0,,False,0.0,0.43103674054145813
CYST_PA37.nii.gz,1,context,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.08191908150911331,354.1551208496094,860.0573120117188,354.1551208496094,0.41178083821091194,0.4212620258331299,True,0.1774926632642746,0.43103674054145813
CYST_PA37.nii.gz,1,context,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,860.0573120117188,860.0573120117188,860.0573120117188,1.0,1.0000001192092896,True,0.43103674054145813,0.43103674054145813
CYST_PA37.nii.gz,2,foreground,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.010119656100869179,0.0,251.06216430664062,0.0,0.0,,False,0.0,0.12582536041736603
CYST_PA37.nii.gz,2,foreground,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.010098091326653957,14.073055267333984,251.06216430664062,14.073055267333984,0.05605406655439141,0.04703550785779953,True,0.007053022272884846,0.12582536041736603
CYST_PA37.nii.gz,2,foreground,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,251.06216430664062,251.06216430664062,251.06216430664062,1.0,1.0,True,0.12582536041736603,0.12582536041736603
CYST_PA37.nii.gz,2,foreground,blur,identity_source,1x288x24x24x24,288,24x24x24,0.126712366938591,0.0,855.07080078125,0.0,0.0,,False,0.0,0.42853763699531555
CYST_PA37.nii.gz,2,foreground,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.10499805212020874,336.2964782714844,855.07080078125,336.2964782714844,0.3932966462709537,0.4145079255104065,True,0.16854240000247955,0.42853763699531555
CYST_PA37.nii.gz,2,foreground,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,855.07080078125,855.07080078125,855.07080078125,1.0,1.0,True,0.42853763699531555,0.42853763699531555
CYST_PA37.nii.gz,3,foreground,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.010465536266565323,0.0,262.0409240722656,0.0,0.0,,False,0.0,0.13132759928703308
CYST_PA37.nii.gz,3,foreground,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.010438666678965092,12.637191772460938,262.0409240722656,12.637191772460938,0.04822602353888759,0.05073171108961105,True,0.006333407945930958,0.13132759928703308
CYST_PA37.nii.gz,3,foreground,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,262.0409240722656,262.0409240722656,262.0409240722656,1.0,1.0,True,0.13132759928703308,0.13132759928703308
CYST_PA37.nii.gz,3,foreground,blur,identity_source,1x288x24x24x24,288,24x24x24,0.1376289278268814,0.0,922.7412109375,0.0,0.0,,False,0.0,0.46245214343070984
CYST_PA37.nii.gz,3,foreground,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.10855867713689804,346.64031982421875,922.7412109375,346.64031982421875,0.3756636375566602,0.4689636528491974,True,0.17372645437717438,0.46245214343070984
